frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,22260,22219,37,0,0,2000,1,,0x90002500,36,37,0x0006b6c0,0x0006b6c0,0x0006b6c0,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x00000003,0x0000000c,0x00000000
1,P,3212,3212,40,1,0,2000,2,,0x90002800,36,40,0x00006473,0x00005f6d,0x00006978,0x0000014f,0x0000066a,0x02240000,0x0063fc00,0x004fda82,0x00000003,0x0000000c,0x00000001
2,P,3102,3102,40,2,0,2000,3,,0x90002800,36,40,0x00006473,0x00005f6d,0x00006978,0x0000014f,0x0000066a,0x00b56000,0x016bd000,0x0029e542,0x00000003,0x0000000c,0x00000002
3,P,3180,3180,40,3,0,2000,4,,0x90002800,36,40,0x00006483,0x00005f7c,0x00006989,0x0000014f,0x0000066a,0x00895000,0x0040a800,0x00286b82,0x00000003,0x0000000c,0x00000003
4,P,2727,2727,40,4,0,2000,5,,0x90002800,36,40,0x00006489,0x00005f82,0x0000698f,0x0000014f,0x0000066a,0x00e1a800,0x006be800,0x00276802,0x00000003,0x0000000c,0x00000004
5,P,3174,3174,38,5,0,2000,6,,0x90002600,36,38,0x000064d3,0x00005fc8,0x000069dd,0x0000014f,0x0000066a,0x00796000,0x000ab800,0x0026e9c2,0x00000003,0x0000000c,0x00000005
6,P,3205,3205,38,6,0,2000,7,,0x90002600,36,38,0x000064db,0x00005fd0,0x000069e5,0x0000014f,0x0000066a,0x00c58800,0x008a1400,0x001df902,0x00000003,0x0000000c,0x00000006
7,P,3179,3179,38,7,0,2000,1,,0x90002600,36,38,0x000064de,0x00005fd2,0x000069e9,0x0000014f,0x0000066a,0x005b7000,0x01971000,0x001bb9c2,0x00000003,0x0000000c,0x00000007
8,P,2980,2980,38,8,0,2000,2,,0x90002600,36,38,0x000064e6,0x00005fda,0x000069f1,0x0000014f,0x0000066a,0x00776800,0x008bf000,0x001b1b02,0x00000003,0x0000000c,0x00000008
9,P,3235,3235,37,9,0,2000,3,,0x90002500,36,37,0x0000650f,0x00006001,0x00006a1c,0x0000014f,0x0000066a,0x00525800,0x0079c000,0x001a4a02,0x00000003,0x0000000c,0x00000009
10,P,2968,2968,37,10,0,2000,4,,0x90002500,36,37,0x0000650f,0x00006001,0x00006a1c,0x0000014f,0x0000066a,0x00fde000,0x00312800,0x00194302,0x00000003,0x0000000c,0x0000000a
11,P,3191,3191,36,11,0,2000,5,,0x90002400,36,36,0x0000653c,0x0000602c,0x00006a4b,0x0000014f,0x0000066a,0x0073c000,0x00111400,0x00186e02,0x00000003,0x0000000c,0x0000000b
12,P,3187,3187,36,12,0,2000,6,,0x90002400,36,36,0x00006544,0x00006033,0x00006a54,0x0000014f,0x0000066a,0x00825800,0x00990800,0x00179e42,0x00000003,0x0000000c,0x0000000c
13,P,2961,2961,36,13,0,2000,7,,0x90002400,36,36,0x0000654e,0x0000603d,0x00006a5e,0x0000014f,0x0000066a,0x008ce000,0x006e9400,0x0016b182,0x00000003,0x0000000c,0x0000000d
14,P,3164,3164,35,14,0,2000,1,,0x90002300,36,35,0x00006581,0x0000606d,0x00006a94,0x0000014f,0x0000066a,0x0068e800,0x003cd400,0x00166642,0x00000003,0x0000000c,0x0000000e
15,P,3189,3189,35,15,0,2000,2,,0x90002300,36,35,0x00006590,0x0000607c,0x00006aa4,0x0000014f,0x0000066a,0x00c70800,0x00518800,0x0015d642,0x00000003,0x0000000c,0x0000000f
16,P,3233,3233,35,16,0,2000,3,,0x90002300,36,35,0x0000659c,0x00006087,0x00006ab0,0x0000014f,0x0000066a,0x00b6f800,0x009d4c00,0x0014be82,0x00000003,0x0000000c,0x00000010
17,P,2826,2826,35,17,0,2000,4,,0x90002300,36,35,0x000065a0,0x0000608b,0x00006ab4,0x0000014f,0x0000066a,0x0081a000,0x0066c000,0x0013f382,0x00000003,0x0000000c,0x00000011
18,P,3550,3550,33,18,0,2000,5,,0x90002100,36,33,0x000065f5,0x000060db,0x00006b0e,0x0000014f,0x0000066a,0x00848000,0x00062c00,0x00128002,0x00000003,0x0000000c,0x00000012
19,P,3132,3132,34,19,0,2000,6,,0x90002200,36,34,0x000065ba,0x000060a3,0x00006ad0,0x0000014f,0x0000066a,0x00eca000,0x0330f800,0x0011d4c2,0x00000003,0x0000000c,0x00000013
20,P,3154,3154,34,20,0,2000,7,,0x90002200,36,34,0x000065d4,0x000060bc,0x00006aeb,0x0000014f,0x0000066a,0x0083f800,0x003b6400,0x0011b9c2,0x00000003,0x0000000c,0x00000014
21,P,2688,2688,34,21,0,2000,1,,0x90002200,36,34,0x000065eb,0x000060d2,0x00006b03,0x0000014f,0x0000066a,0x00d8f000,0x00578c00,0x0010f002,0x00000003,0x0000000c,0x00000015
22,P,3256,3256,33,22,0,2000,2,,0x90002100,36,33,0x0000666a,0x0000614b,0x00006b88,0x0000014f,0x0000066a,0x00611800,0x00122400,0x00109302,0x00000003,0x0000000c,0x00000016
23,P,3108,3108,33,23,0,2000,3,,0x90002100,36,33,0x0000666f,0x0000614f,0x00006b8e,0x0000014f,0x0000066a,0x00bee800,0x008f5400,0x00106d42,0x00000003,0x0000000c,0x00000017
24,P,3213,3213,32,24,0,2000,4,,0x90002000,36,32,0x00006697,0x00006175,0x00006bb8,0x0000014f,0x0000066a,0x0065c800,0x0010b000,0x00101f02,0x00000003,0x0000000c,0x00000018
25,P,3296,3296,32,25,0,2000,5,,0x90002000,36,32,0x000066a8,0x00006186,0x00006bca,0x0000014f,0x0000066a,0x00549800,0x004f5000,0x000fdbc2,0x00000003,0x0000000c,0x00000019
26,P,3121,3121,32,26,0,2000,6,,0x90002000,36,32,0x000066a5,0x00006183,0x00006bc6,0x0000014f,0x0000066a,0x00b09000,0x009b0400,0x000f2282,0x00000003,0x0000000c,0x0000001a
