frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,30842,30802,32,0,0,8000,1,,0x80002000,32,32,0x001adb00,0x001adb00,0x001adb00,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x00000003,0x0000000c,0x00000000
1,P,8800,8800,35,1,0,8000,2,,0x80002300,32,35,0x0001f184,0x0001d8a3,0x00020a64,0x0000014f,0x0000066a,0x02ca4000,0x00004400,0x0037c0c2,0x00000003,0x0000000c,0x00000001
2,P,10590,10590,33,2,0,8000,3,,0x80002100,32,33,0x0001f57e,0x0001dc6a,0x00020e91,0x0000014f,0x0000066a,0x038b3000,0x0037e000,0x00121182,0x00000003,0x0000000c,0x00000002
3,P,7117,7117,32,3,0,8000,4,,0x80002000,32,32,0x0001f897,0x0001df5c,0x000211d1,0x0000014f,0x0000066a,0x022e5800,0x006e8400,0x000f1182,0x00000003,0x0000000c,0x00000003
4,P,7369,7369,31,4,0,8000,5,,0x80001f00,32,31,0x0001fdd1,0x0001e453,0x0002174e,0x0000014f,0x0000066a,0x01a9e000,0x00430000,0x000d15c2,0x00000003,0x0000000c,0x00000004
5,P,7015,7015,30,5,0,8000,6,,0x80001e00,32,30,0x00020317,0x0001e955,0x00021cd8,0x0000014f,0x0000066a,0x01669000,0x00810800,0x000ba042,0x00000003,0x0000000c,0x00000005
6,P,7704,7704,29,6,0,8000,7,,0x80001d00,32,29,0x000208c8,0x0001eebe,0x000222d2,0x0000014f,0x0000066a,0x01380800,0x005b3800,0x000a5502,0x00000003,0x0000000c,0x00000006
7,P,7509,7509,28,7,0,8000,1,,0x80001c00,32,28,0x00020e46,0x0001f3f5,0x00022896,0x0000014f,0x0000066a,0x01148800,0x004e4400,0x00096542,0x00000003,0x0000000c,0x00000007
8,P,8423,8423,27,8,0,8000,2,,0x80001b00,32,27,0x0002141b,0x0001f980,0x00022eb5,0x0000014f,0x0000066a,0x0113e800,0x003ecc00,0x00088ec2,0x00000003,0x0000000c,0x00000008
9,P,8053,8053,26,9,0,8000,3,,0x80001a00,32,26,0x00021998,0x0001feb6,0x00023479,0x0000014f,0x0000066a,0x010c8800,0x003e8c00,0x0007af42,0x00000003,0x0000000c,0x00000009
10,P,8328,8328,25,10,0,8000,4,,0x80001900,32,25,0x00021f8d,0x0002045f,0x00023aba,0x0000014f,0x0000066a,0x01153000,0x00743000,0x0006b902,0x00000003,0x0000000c,0x0000000a
11,P,7994,7994,24,11,0,8000,5,,0x80001800,32,24,0x00022594,0x00020a19,0x0002410e,0x0000014f,0x0000066a,0x01240000,0x005b4c00,0x000623c2,0x00000003,0x0000000c,0x0000000b
12,P,8543,8543,23,12,0,8000,6,,0x80001700,32,23,0x00022c18,0x0002104a,0x000247e6,0x0000014f,0x0000066a,0x00df6800,0x00555400,0x00058bc2,0x00000003,0x0000000c,0x0000000c
13,P,8707,8707,22,13,0,8000,7,,0x80001600,32,22,0x00023285,0x00021664,0x00024ea5,0x0000014f,0x0000066a,0x006ed800,0x00644c00,0x00050402,0x00000003,0x0000000c,0x0000000d
14,P,9688,9688,21,14,0,8000,1,,0x80001500,32,21,0x0002391e,0x00021ca9,0x00025592,0x0000014f,0x0000066a,0x00ab2000,0x0058d800,0x00048742,0x00000003,0x0000000c,0x0000000e
15,P,3296,3296,21,15,0,8000,2,,0x80001500,32,21,0x00023f50,0x0002228c,0x00025c14,0x0000014f,0x0000066a,0x00792000,0x0061e800,0x000436c2,0x00000003,0x0000000c,0x0000000f
16,P,2074,2074,21,16,0,8000,3,,0x80001500,32,21,0x00024a8f,0x00022d3b,0x000267e2,0x0000014f,0x0000066a,0x00440800,0x00205800,0x0003d582,0x00000003,0x0000000c,0x00000010
17,P,1920,1920,21,17,0,8000,4,,0x80001500,32,21,0x00025749,0x00023952,0x0002753f,0x0000014f,0x0000066a,0x00440800,0x0013b800,0x0003c882,0x00000003,0x0000000c,0x00000011
18,P,1890,1890,21,18,0,8000,5,,0x80001500,32,21,0x000264c4,0x00024620,0x00028367,0x0000014f,0x0000066a,0x00440800,0x0013b800,0x0003c6c2,0x00000003,0x0000000c,0x00000012
19,P,1890,1890,21,19,0,8000,6,,0x80001500,32,21,0x000272f7,0x0002539d,0x00029250,0x0000014f,0x0000066a,0x00440800,0x0013b800,0x0003c6c2,0x00000003,0x0000000c,0x00000013
20,P,1890,1890,21,20,0,8000,7,,0x80001500,32,21,0x000281e9,0x000261d0,0x0002a201,0x0000014f,0x0000066a,0x00440800,0x0013b800,0x0003c6c2,0x00000003,0x0000000c,0x00000014
21,P,1890,1890,21,21,0,8000,1,,0x80001500,32,21,0x000291a9,0x000270c6,0x0002b28b,0x0000014f,0x0000066a,0x00440800,0x0013b800,0x0003c702,0x00000003,0x0000000c,0x00000015
22,P,1890,1890,21,22,0,8000,2,,0x80001500,32,21,0x0002a24a,0x00028093,0x0002c400,0x0000014f,0x0000066a,0x00440800,0x0013b800,0x0003c6c2,0x00000003,0x0000000c,0x00000016
23,P,1890,1890,21,23,0,8000,3,,0x80001500,32,21,0x0002b3de,0x00029146,0x0002d675,0x0000014f,0x0000066a,0x00440800,0x0013b800,0x0003c6c2,0x00000003,0x0000000c,0x00000017
24,P,1890,1890,21,24,0,8000,4,,0x80001500,32,21,0x0002c67b,0x0002a2f4,0x0002ea01,0x0000014f,0x0000066a,0x00440800,0x0013b800,0x0003c6c2,0x00000003,0x0000000c,0x00000018
25,P,1890,1890,21,25,0,8000,5,,0x80001500,32,21,0x0002da38,0x0002b5b5,0x0002feba,0x0000014f,0x0000066a,0x00440800,0x0013b800,0x0003c702,0x00000003,0x0000000c,0x00000019
26,P,1890,1890,21,26,0,8000,6,,0x80001500,32,21,0x0002ef32,0x0002c9a2,0x000314c1,0x0000014f,0x0000066a,0x00440800,0x0013b800,0x0003c6c2,0x00000003,0x0000000c,0x0000001a
27,P,1890,1890,21,27,0,8000,7,,0x80001500,32,21,0x00030585,0x0002ded7,0x00032c32,0x0000014f,0x0000066a,0x00440800,0x0013b800,0x0003c6c2,0x00000003,0x0000000c,0x0000001b
28,P,1890,1890,21,28,0,8000,1,,0x80001500,32,21,0x00031d56,0x0002f578,0x00034533,0x0000014f,0x0000066a,0x00440800,0x0013b800,0x0003c6c2,0x00000003,0x0000000c,0x0000001c
29,P,1890,1890,21,29,0,8000,2,,0x80001500,32,21,0x000336cb,0x00030da7,0x00035fee,0x0000014f,0x0000066a,0x00440800,0x0013b800,0x0003c702,0x00000003,0x0000000c,0x0000001d
30,I,34365,34325,30,28,0,8000,3,,0x80001e00,32,30,0x001adb00,0x001adb00,0x001adb00,0x0000014f,0x00000662,0x02ca4000,0x00004400,0x0037c0c2,0x00000003,0x0000000c,0x00000000
31,P,9961,9961,33,27,0,8000,4,,0x80002100,32,33,0x00035232,0x000327af,0x00037cb4,0x0000014f,0x0000066a,0x00440800,0x0013b800,0x0003c6c2,0x00000003,0x0000000c,0x00000001
32,P,6692,6692,32,26,0,8000,5,,0x80002000,32,32,0x00036571,0x000339f8,0x000390e9,0x0000014f,0x0000066a,0x023a1800,0x00a46800,0x000e74c2,0x00000003,0x0000000c,0x00000002
33,P,6877,6877,31,25,0,8000,6,,0x80001f00,32,31,0x00037de6,0x00035134,0x0003aa97,0x0000014f,0x0000066a,0x0141f000,0x00364c00,0x000c7282,0x00000003,0x0000000c,0x00000003
34,P,7132,7132,30,24,0,8000,7,,0x80001e00,32,30,0x00039804,0x00036a03,0x0003c604,0x0000014f,0x0000066a,0x0120a800,0x005f9400,0x000b2e82,0x00000003,0x0000000c,0x00000004
35,P,7252,7252,29,23,0,8000,1,,0x80001d00,32,29,0x0003b3e6,0x00038480,0x0003e34b,0x0000014f,0x0000066a,0x00ff0000,0x00714000,0x000a5e42,0x00000003,0x0000000c,0x00000005
36,P,7418,7418,28,22,0,8000,2,,0x80001c00,32,28,0x0003d1f4,0x0003a10e,0x000402d9,0x0000014f,0x0000066a,0x00f3d000,0x00510000,0x00095502,0x00000003,0x0000000c,0x00000006
37,P,8150,8150,27,21,0,8000,3,,0x80001b00,32,27,0x0003f265,0x0003bfdf,0x000424ea,0x0000014f,0x0000066a,0x00d61800,0x003e2c00,0x0008a9c2,0x00000003,0x0000000c,0x00000007
38,P,8088,8088,26,20,0,8000,4,,0x80001a00,32,26,0x000414be,0x0003e081,0x000448fa,0x0000014f,0x0000066a,0x00e7f000,0x0086d400,0x0007f242,0x00000003,0x0000000c,0x00000008
39,P,8545,8545,25,19,0,8000,5,,0x80001900,32,25,0x00043a75,0x00040455,0x00047094,0x0000014f,0x0000066a,0x0129c000,0x005f4800,0x00072502,0x00000003,0x0000000c,0x00000009
40,P,8285,8285,24,18,0,8000,6,,0x80001800,32,24,0x0004633b,0x00042b11,0x00049b64,0x0000014f,0x0000066a,0x00eae800,0x005d9000,0x00065fc2,0x00000003,0x0000000c,0x0000000a
41,P,8974,8974,23,17,0,8000,7,,0x80001700,32,23,0x000490b8,0x00045648,0x0004cb27,0x0000014f,0x0000066a,0x00ded800,0x00530c00,0x0005d042,0x00000003,0x0000000c,0x0000000b
42,P,9243,9243,22,16,0,8000,1,,0x80001600,32,22,0x0004c212,0x0004852a,0x0004fef9,0x0000014f,0x0000066a,0x00b70800,0x006de800,0x00051b02,0x00000003,0x0000000c,0x0000000c
43,P,9735,9735,21,15,0,8000,2,,0x80001500,32,21,0x0004f8bb,0x0004b918,0x0005385d,0x0000014f,0x0000066a,0x00b81000,0x00531000,0x0004a982,0x00000003,0x0000000c,0x0000000d
44,P,10224,10224,20,14,0,8000,3,,0x80001400,32,20,0x00053543,0x0004f299,0x000577ec,0x0000014f,0x0000066a,0x00910800,0x006c0c00,0x00043142,0x00000003,0x0000000c,0x0000000e
45,P,4027,4027,19,13,0,8000,4,,0x80001300,32,19,0x000578d9,0x000532ce,0x0005bee3,0x0000014f,0x0000066a,0x00ad8000,0x005b0000,0x0003b342,0x00000003,0x0000000c,0x0000000f
46,P,2563,2563,19,12,0,8000,5,,0x80001300,32,19,0x0005d3eb,0x00058952,0x00061e83,0x0000014f,0x0000066a,0x00482800,0x0022dc00,0x000352c2,0x00000003,0x0000000c,0x00000010
47,P,2371,2371,19,11,0,8000,6,,0x80001300,32,19,0x00064085,0x0005f07e,0x0006908b,0x0000014f,0x0000066a,0x00481800,0x001b1800,0x00034542,0x00000003,0x0000000c,0x00000011
48,P,2328,2328,19,10,0,8000,7,,0x80001300,32,19,0x0006bfb9,0x00066956,0x0007161b,0x0000014f,0x0000066a,0x00481800,0x0017e800,0x000343c2,0x00000003,0x0000000c,0x00000012
49,P,2299,2299,19,9,0,8000,1,,0x80001300,32,19,0x0007562d,0x0006f844,0x0007b415,0x0000014f,0x0000066a,0x00481800,0x0017e800,0x00034342,0x00000003,0x0000000c,0x00000013
50,P,2315,2315,19,8,0,8000,2,,0x80001300,32,19,0x00080acf,0x0007a3de,0x000871bf,0x0000014f,0x0000066a,0x00481800,0x0017e800,0x00034342,0x00000003,0x0000000c,0x00000014
51,P,2285,2285,19,7,0,8000,3,,0x80001300,32,19,0x0008e787,0x0008758d,0x00095980,0x0000014f,0x0000066a,0x00481800,0x0017e800,0x00034342,0x00000003,0x0000000c,0x00000015
52,P,2294,2294,19,6,0,8000,4,,0x80001300,32,19,0x0009fb8b,0x00097bc4,0x000a7b51,0x0000014f,0x0000066a,0x00481800,0x0017e800,0x00034342,0x00000003,0x0000000c,0x00000016
53,P,2285,2285,19,5,0,8000,5,,0x80001300,32,19,0x000b5e61,0x000accdc,0x000befe5,0x0000014f,0x0000066a,0x00481800,0x0017e800,0x00034342,0x00000003,0x0000000c,0x00000017
54,P,2294,2294,19,4,0,8000,6,,0x80001300,32,19,0x000d378a,0x000c8e5c,0x000de0b7,0x0000014f,0x0000066a,0x00481800,0x0017e800,0x00034342,0x00000003,0x0000000c,0x00000018
55,P,2285,2285,19,3,0,8000,7,,0x80001300,32,19,0x000fcde9,0x000f039d,0x00109834,0x0000014f,0x0000066a,0x00481800,0x0017e800,0x00034342,0x00000003,0x0000000c,0x00000019
56,P,2294,2294,19,2,0,8000,1,,0x80001300,32,19,0x0013af8a,0x0012b38f,0x0014ab84,0x0000014f,0x0000066a,0x00481800,0x0017e800,0x00034342,0x00000003,0x0000000c,0x0000001a
57,P,2285,2285,19,1,0,8000,2,,0x80001300,32,19,0x001a277d,0x0018d8b6,0x001b7643,0x0000014f,0x0000066a,0x00481800,0x0017e800,0x00034342,0x00000003,0x0000000c,0x0000001b
58,P,2294,2294,19,0,0,8000,3,,0x80001300,32,19,0x00271788,0x00252327,0x00290be8,0x0000014f,0x0000066a,0x00481800,0x0017e800,0x00034342,0x00000003,0x0000000c,0x0000001c
59,P,2285,2285,19,1,0,8000,4,,0x80001300,32,19,0x004de760,0x004a0234,0x0051cc8b,0x0000014f,0x0000066a,0x00481800,0x0017e800,0x00034342,0x00000003,0x0000000c,0x0000001d
60,I,38177,38137,28,2,0,8000,5,,0x80001c00,32,28,0x002361f8,0x002361f8,0x002361f8,0x0000014f,0x00000662,0x04300000,0x00006000,0x0033c382,0x00000003,0x0000000c,0x00000000
61,P,10707,10707,31,3,0,8000,6,,0x80001f00,32,31,0x0001e574,0x0001cd2e,0x0001fdb9,0x0000014f,0x0000066a,0x00481800,0x0017e800,0x00034342,0x00000003,0x0000000c,0x00000001
62,P,7234,7234,30,4,0,8000,7,,0x80001e00,32,30,0x000237c3,0x00021b5f,0x00025426,0x0000014f,0x0000066a,0x01ba3800,0x00cfc000,0x000bbf02,0x00000003,0x0000000c,0x00000002
63,P,7484,7484,29,5,0,8000,1,,0x80001d00,32,29,0x00023df9,0x00022146,0x00025aab,0x0000014f,0x0000066a,0x00c5b800,0x0086e800,0x000a7a42,0x00000003,0x0000000c,0x00000003
64,P,7439,7439,28,6,0,8000,2,,0x80001c00,32,28,0x00024445,0x00022741,0x00026148,0x0000014f,0x0000066a,0x00fed000,0x00471400,0x00095d42,0x00000003,0x0000000c,0x00000004
65,P,7761,7761,27,7,0,8000,3,,0x80001b00,32,27,0x000246a4,0x00022982,0x000263c5,0x0000014f,0x0000066a,0x00ed9000,0x003a0000,0x00086442,0x00000003,0x0000000c,0x00000005
66,P,7899,7899,26,8,0,8000,4,,0x80001a00,32,26,0x0002389c,0x00021c2d,0x0002550a,0x0000014f,0x0000066a,0x00cf7800,0x004b3000,0x00076702,0x00000003,0x0000000c,0x00000006
67,P,8632,8632,25,9,0,8000,5,,0x80001900,32,25,0x00022bfb,0x0002102e,0x000247c7,0x0000014f,0x0000066a,0x0103a000,0x006af400,0x0006c9c2,0x00000003,0x0000000c,0x00000007
68,P,8788,8788,24,10,0,8000,6,,0x80001800,32,24,0x00022074,0x0002053b,0x00023bad,0x0000014f,0x0000066a,0x00c55800,0x00568800,0x000621c2,0x00000003,0x0000000c,0x00000008
69,P,8914,8914,23,11,0,8000,7,,0x80001700,32,23,0x0002166f,0x0001fbb6,0x00023127,0x0000014f,0x0000066a,0x00bfd000,0x005ac400,0x00056a02,0x00000003,0x0000000c,0x00000009
70,P,8745,8745,22,12,0,8000,1,,0x80001600,32,22,0x0002136d,0x0001f8da,0x00022dff,0x0000014f,0x0000066a,0x00f96800,0x0080ac00,0x0004e0c2,0x00000003,0x0000000c,0x0000000a
71,P,9101,9101,21,13,0,8000,2,,0x80001500,32,21,0x000218eb,0x0001fe12,0x000233c3,0x0000014f,0x0000066a,0x00e13000,0x00587400,0x00044ec2,0x00000003,0x0000000c,0x0000000b
72,P,9267,9267,20,14,0,8000,3,,0x80001400,32,20,0x00021e68,0x00020349,0x00023986,0x0000014f,0x0000066a,0x00943000,0x00561800,0x0003e2c2,0x00000003,0x0000000c,0x0000000c
73,P,3593,3593,19,15,0,8000,4,,0x80001300,32,19,0x00022407,0x000208a0,0x00023f6d,0x0000014f,0x0000066a,0x0091e800,0x00483400,0x00038402,0x00000003,0x0000000c,0x0000000d
74,P,2478,2478,18,16,0,8000,5,,0x80001200,32,18,0x00022dee,0x00021208,0x000249d3,0x0000014f,0x0000066a,0x0047f800,0x001b8800,0x00033682,0x00000003,0x0000000c,0x0000000e
75,P,2296,2296,17,17,0,8000,6,,0x80001100,32,17,0x0002391b,0x00021ca6,0x0002558f,0x0000014f,0x0000066a,0x0045a800,0x00100400,0x00032782,0x00000003,0x0000000c,0x0000000f
76,P,2021,2021,17,18,0,8000,7,,0x80001100,32,17,0x000244f2,0x000227e5,0x000261fe,0x0000014f,0x0000066a,0x0045a800,0x000e5000,0x000323c2,0x00000003,0x0000000c,0x00000010
77,P,1971,1971,17,19,0,8000,1,,0x80001100,32,17,0x00025193,0x000233e5,0x00026f40,0x0000014f,0x0000066a,0x0045a800,0x000e5000,0x00031f42,0x00000003,0x0000000c,0x00000011
78,P,1968,1968,17,20,0,8000,2,,0x80001100,32,17,0x00025ee0,0x00024088,0x00027d38,0x0000014f,0x0000066a,0x0045a800,0x000e5000,0x00031ec2,0x00000003,0x0000000c,0x00000012
79,P,1963,1963,17,21,0,8000,3,,0x80001100,32,17,0x00026cdc,0x00024dd1,0x00028be7,0x0000014f,0x0000066a,0x0045a800,0x000e5000,0x00031f02,0x00000003,0x0000000c,0x00000013
80,P,1958,1958,17,22,0,8000,4,,0x80001100,32,17,0x00027b95,0x00025bcd,0x00029b5c,0x0000014f,0x0000066a,0x0045a800,0x000e5000,0x00031ec2,0x00000003,0x0000000c,0x00000014
81,P,1958,1958,17,23,0,8000,5,,0x80001100,32,17,0x00028b1b,0x00026a8c,0x0002aba9,0x0000014f,0x0000066a,0x0045a800,0x000e5000,0x00031ec2,0x00000003,0x0000000c,0x00000015
82,P,1958,1958,17,24,0,8000,6,,0x80001100,32,17,0x00029b7e,0x00027a1e,0x0002bcdd,0x0000014f,0x0000066a,0x0045a800,0x000e5000,0x00031ec2,0x00000003,0x0000000c,0x00000016
83,P,1958,1958,17,25,0,8000,7,,0x80001100,32,17,0x0002acd1,0x00028a93,0x0002cf0e,0x0000014f,0x0000066a,0x0045a800,0x000e5000,0x00031ec2,0x00000003,0x0000000c,0x00000017
84,P,1958,1958,17,26,0,8000,1,,0x80001100,32,17,0x0002bf29,0x00029c00,0x0002e251,0x0000014f,0x0000066a,0x0045a800,0x000e5000,0x00031ec2,0x00000003,0x0000000c,0x00000018
85,P,1958,1958,17,27,0,8000,2,,0x80001100,32,17,0x0002d29d,0x0002ae7b,0x0002f6be,0x0000014f,0x0000066a,0x0045a800,0x000e5000,0x00031ec2,0x00000003,0x0000000c,0x00000019
86,P,1958,1958,17,28,0,8000,3,,0x80001100,32,17,0x0002e748,0x0002c21e,0x00030c72,0x0000014f,0x0000066a,0x0045a800,0x000e5000,0x00031ec2,0x00000003,0x0000000c,0x0000001a
87,P,1958,1958,17,29,0,8000,4,,0x80001100,32,17,0x0002fd49,0x0002d705,0x0003238c,0x0000014f,0x0000066a,0x0045a800,0x000e5000,0x00031ec2,0x00000003,0x0000000c,0x0000001b
88,P,1958,1958,17,28,0,8000,5,,0x80001100,32,17,0x000314c1,0x0002ed50,0x00033c31,0x0000014f,0x0000066a,0x0045a800,0x000e5000,0x00031ec2,0x00000003,0x0000000c,0x0000001c
89,P,1958,1958,17,27,0,8000,6,,0x80001100,32,17,0x00032dd8,0x00030526,0x00035689,0x0000014f,0x0000066a,0x0045a800,0x000e5000,0x00031ec2,0x00000003,0x0000000c,0x0000001d
90,I,42391,42351,26,26,0,8000,7,,0x80001a00,32,26,0x002361f8,0x002361f8,0x002361f8,0x0000014f,0x00000662,0x037c7800,0x003a0800,0x003101c2,0x00000003,0x0000000c,0x00000000
91,P,10391,10391,29,25,0,8000,1,,0x80001d00,32,29,0x00035055,0x000325ea,0x00037abf,0x0000014f,0x0000066a,0x0045a800,0x000e5000,0x00031ec2,0x00000003,0x0000000c,0x00000001
