                                 enable  prepare  protect                                duty  hardware                            connection
   clock                          count    count    count        rate   accuracy phase  cycle    enable   consumer                         id
          clk_1x_vo1_comm_sel        0       0        0        108000000   0          0     50000      Y            deviceless                      no_connection_id         
             clk_1x_vo1_comm_divn    0       0        0        108000000   0          0     50000      Y               deviceless                      no_connection_id         
                clk_1x_vo1_comm_eb   0       0        0        108000000   0          0     50000      N                  deviceless                      no_connection_id         
          clk_nx_vo1_comm_sel        0       0        0        108000000   0          0     50000      Y            deviceless                      no_connection_id         
             clk_nx_vo1_comm_divn    0       0        0        108000000   0          0     50000      Y               deviceless                      no_connection_id         
                clk_nx_vo1_comm_eb   0       0        0        108000000   0          0     50000      N                  deviceless                      no_connection_id         
 vpll0                               0       0        0        1188000000  0          0     50000      Y   deviceless                      no_connection_id         
    vpll0_1188m                      0       0        0        1188000000  0          0     50000      Y      deviceless                      no_connection_id         
       vpll0_594m                    0       0        0        594000000   0          0     50000      Y         deviceless                      no_connection_id         
          vpll0_297m                 0       0        0        297000000   0          0     50000      Y            deviceless                      no_connection_id         
             vpll0_27m               0       0        0        27000000    0          0     50000      Y               deviceless                      no_connection_id         
             vpll0_148p5m            0       0        0        148500000   0          0     50000      Y               deviceless                      no_connection_id         
                vpll0_74p25m         0       0        0        74250000    0          0     50000      Y                  deviceless                      no_connection_id         
                   vpll0_37p125m     0       0        0        37125000    0          0     50000      Y                     deviceless                      no_connection_id         
          vpll0_118p8m               0       0        0        118800000   0          0     50000      Y            deviceless                      no_connection_id         
             clk_dpu_out_sel         0       0        0        118800000   0          0     50000      Y               deviceless                      no_connection_id         
                clk_dpu_out_divn     0       0        0        29700000    0          0     50000      Y                  deviceless                      no_connection_id         
                   clk_dpu_out_eb    0       0        0        29700000    0          0     50000      N                     deviceless                      no_connection_id         
          vpll0_198m                 0       0        0        198000000   0          0     50000      Y            deviceless                      no_connection_id         
       vpll0_108m                    0       0        0        108000000   0          0     50000      Y         deviceless                      no_connection_id         
          clk_1x_vo0_sel             0       0        0        108000000   0          0     50000      Y            deviceless                      no_connection_id         
             clk_1x_vo0_divn_flash   0       0        0        108000000   0          0     50000      Y               deviceless                      no_connection_id         
                clk_1x_vo0_eb        0       0        0        108000000   0          0     50000      N                  deviceless                      no_connection_id         
          clk_nx_vo0_sel             0       0        0        108000000   0          0     50000      Y            deviceless                      no_connection_id         
             clk_nx_vo0_divn_flash   0       0        0        108000000   0          0     50000      Y               deviceless                      no_connection_id         
                clk_nx_vo0_eb        0       0        0        108000000   0          0     50000      N                  deviceless                      no_connection_id         
          clk_1x_vo0_comm_sel        0       0        0        108000000   0          0     50000      Y            deviceless                      no_connection_id         
             clk_1x_vo0_comm_divn    0       0        0        108000000   0          0     50000      Y               deviceless                      no_connection_id         
                clk_1x_vo0_comm_eb   0       0        0        108000000   0          0     50000      N                  deviceless                      no_connection_id         
          clk_nx_vo0_comm_sel        0       0        0        108000000   0          0     50000      Y            deviceless                      no_connection_id         
             clk_nx_vo0_comm_divn    0       0        0        108000000   0          0     50000      Y               deviceless                      no_connection_id         
                clk_nx_vo0_comm_eb   0       0        0        108000000   0          0     50000      N                  deviceless                      no_connection_id         
 npll                                1       1        0        1600000000  0          0     50000      Y   deviceless                      no_connection_id         
