frame,type,bytes,slice_qp
0,I,17538,32
1,P,13523,35
2,P,10656,33
3,P,7577,32
4,P,7904,31
5,P,8794,30
6,P,8260,29
7,P,11885,28
8,P,7545,27
9,P,12257,26
10,P,12352,25
11,P,15607,24
12,P,11683,23
13,P,16699,22
14,P,13648,21
15,P,14052,21
16,P,4352,21
17,P,10310,21
18,P,10548,21
19,P,11758,21
20,P,7800,21
21,P,11381,21
22,P,11590,21
23,P,11421,21
24,P,2702,21
25,P,9325,21
26,P,10430,21
27,P,11769,21
28,P,8291,21
29,P,11443,21
30,I,19704,30
31,P,12360,33
32,P,6613,32
33,P,8083,31
34,P,8674,30
35,P,10416,29
36,P,11152,28
37,P,13077,27
38,P,12708,26
39,P,15303,25
40,P,8586,24
41,P,14355,23
42,P,13702,22
43,P,17286,21
44,P,10641,20
45,P,13167,19
46,P,11221,19
47,P,11722,19
48,P,3456,19
49,P,9729,19
50,P,10493,19
51,P,11975,19
52,P,7819,19
53,P,11376,19
54,P,11834,19
55,P,11289,19
56,P,2502,19
57,P,9451,19
58,P,10414,19
59,P,12185,19
60,I,22262,28
61,P,14208,31
62,P,10847,30
63,P,10225,29
64,P,10371,28
65,P,12340,27
66,P,11821,26
67,P,15005,25
68,P,12100,24
69,P,15446,23
70,P,11826,22
71,P,17812,21
72,P,6765,20
73,P,11893,19
74,P,10938,18
75,P,12989,17
76,P,8212,17
77,P,11923,17
78,P,11060,17
79,P,11524,17
80,P,2652,17
81,P,9724,17
82,P,10586,17
83,P,11925,17
84,P,8028,17
85,P,11366,17
86,P,11891,17
87,P,11223,17
88,P,2589,17
89,P,9412,17
