frame,type,bytes,slice_qp
0,I,12313,35
1,P,1611,38
2,P,1434,40
3,P,1108,42
4,P,1251,44
5,P,983,46
6,P,1115,48
7,P,813,50
8,P,956,51
9,P,838,51
10,P,898,51
11,P,673,51
12,P,919,51
13,P,834,51
14,P,1109,51
15,P,862,51
16,P,1863,51
17,P,1100,51
18,P,1132,51
19,P,907,51
20,P,1049,51
21,P,921,51
22,P,1195,51
23,P,932,51
24,P,1446,51
25,P,1146,51
26,P,1273,51
27,P,998,51
28,P,1372,51
29,P,1156,51
30,I,11883,36
31,P,2342,38
32,P,3573,40
33,P,1269,42
34,P,1281,44
35,P,1067,46
36,P,1244,46
37,P,1195,46
38,P,1532,46
39,P,1399,46
40,P,1802,46
41,P,1617,46
42,P,1843,46
43,P,2010,46
44,P,2715,46
45,P,2204,46
46,P,2677,46
47,P,2892,46
48,P,5185,46
49,P,1833,46
50,P,1899,46
51,P,2126,46
52,P,2727,46
53,P,2362,46
54,P,3109,46
55,P,2950,46
56,P,3548,46
57,P,3678,46
58,P,3413,46
59,P,3731,46
60,I,12176,36
61,P,1941,38
62,P,1610,40
63,P,1396,42
64,P,2278,44
65,P,1310,46
66,P,1325,46
67,P,1322,46
68,P,1530,46
69,P,1458,46
70,P,1719,46
71,P,1654,46
72,P,2116,46
73,P,1925,46
74,P,2142,46
75,P,2410,46
76,P,3051,46
77,P,2379,46
78,P,2776,46
79,P,3117,46
80,P,5196,46
81,P,1948,46
82,P,1958,46
83,P,2060,46
84,P,2635,46
85,P,2262,46
86,P,2836,46
87,P,2755,46
88,P,3255,46
89,P,3264,46
