frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,22260,22219,37,0,0,2000,1,,0x90002500,36,37,0x0006b6c0,0x0006b6c0,0x0006b6c0,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x00000003,0x0000000c,0x00000000
1,P,6749,6749,40,1,540,2000,2,,0x90002800,36,40,0x00006473,0x00001e22,0x0000c8e6,0x0000014f,0x0000066a,0x02240000,0x0063fc00,0x004fda82,0x00000003,0x0000000c,0x00000001
2,P,5315,5315,42,2,1080,2000,3,,0x90002a00,36,42,0x0000627a,0x00001d8b,0x0000c4f4,0x0000014f,0x0000066a,0x02d50800,0x04a07800,0x0068da02,0x00000003,0x0000000c,0x00000002
3,P,5682,5682,44,3,1620,2000,4,,0x90002c00,36,44,0x0000613f,0x00001d2c,0x0000c27e,0x0000014f,0x0000066a,0x01174800,0x03e1c400,0x0064c882,0x00000003,0x0000000c,0x00000003
4,P,5184,5184,46,4,2160,2000,5,,0x90002e00,36,46,0x00005fc2,0x00001cba,0x0000bf84,0x0000014f,0x0000066a,0x0215d800,0x01259000,0x0067b1c2,0x00000003,0x0000000c,0x00000004
5,P,4891,4891,48,5,2700,2000,6,,0x90003000,36,48,0x00005e82,0x00001c5a,0x0000bd04,0x0000014f,0x0000066a,0x020a2800,0x012c3000,0x00664802,0x00000003,0x0000000c,0x00000005
6,P,4758,4758,50,6,3240,2000,7,,0x90003200,36,50,0x00005d63,0x00001c04,0x0000bac6,0x0000014f,0x0000066a,0x02039800,0x0134a000,0x006a9142,0x00000003,0x0000000c,0x00000006
7,P,4073,4073,51,7,3780,2000,1,,0x90003300,36,51,0x0000802e,0x00002674,0x0001005c,0x0000066f,0x0000066a,0x016c3000,0x010ac000,0x00682482,0x00000003,0x0000000c,0x00000007
8,P,4130,4130,51,8,4320,2000,2,,0x90003300,36,51,0x00008032,0x00002675,0x00010064,0x0000066f,0x0000066a,0x02019000,0x0084b400,0x00826cc2,0x00000003,0x0000000c,0x00000008
9,P,4054,4054,51,9,4860,2000,3,,0x90003300,36,51,0x0000802e,0x00002674,0x0001005c,0x0000066f,0x0000066a,0x00d6d800,0x01ed4000,0x006fe742,0x00000003,0x0000000c,0x00000009
10,P,4125,4125,51,10,5400,2000,4,,0x90003300,36,51,0x00008036,0x00002676,0x0001006c,0x0000066f,0x0000066a,0x018b0000,0x02803800,0x00858ec2,0x00000003,0x0000000c,0x0000000a
11,P,3933,3933,51,11,5940,2000,5,,0x90003300,36,51,0x00008032,0x00002675,0x00010064,0x0000066f,0x0000066a,0x016dd800,0x00cadc00,0x00726f82,0x00000003,0x0000000c,0x0000000b
12,P,4080,4080,51,12,6480,2000,6,,0x90003300,36,51,0x0000804f,0x0000267e,0x0001009e,0x0000066f,0x0000066a,0x01325800,0x03a82c00,0x008885c2,0x00000003,0x0000000c,0x0000000c
13,P,3995,3995,51,13,7020,2000,7,,0x90003300,36,51,0x00008054,0x0000267f,0x000100a8,0x0000066f,0x0000066a,0x00f14000,0x02451800,0x0074a382,0x00000003,0x0000000c,0x0000000d
14,P,4064,4064,51,14,7560,2000,1,,0x90003300,36,51,0x00008068,0x00002685,0x000100d0,0x0000066f,0x0000066a,0x01da4000,0x011f2000,0x00870402,0x00000003,0x0000000c,0x0000000e
15,P,4031,4031,51,15,8100,2000,2,,0x90003300,36,51,0x00008070,0x00002688,0x000100e0,0x0000066f,0x0000066a,0x01149000,0x011c5000,0x0074cfc2,0x00000003,0x0000000c,0x0000000f
16,P,4049,4049,51,16,8640,2000,3,,0x90003300,36,51,0x0000807f,0x0000268c,0x000100fe,0x0000066f,0x0000066a,0x0194f800,0x01823000,0x0088e342,0x00000003,0x0000000c,0x00000010
17,P,3978,3978,51,17,9180,2000,4,,0x90003300,36,51,0x0000808c,0x00002690,0x00010118,0x0000066f,0x0000066a,0x012a2800,0x014fac00,0x0075be82,0x00000003,0x0000000c,0x00000011
18,P,4035,4035,51,18,9720,2000,5,,0x90003300,36,51,0x000080a7,0x00002698,0x0001014e,0x0000066f,0x0000066a,0x019b0800,0x01f40000,0x00897182,0x00000003,0x0000000c,0x00000012
19,P,3972,3972,51,19,10260,2000,6,,0x90003300,36,51,0x000080b8,0x0000269d,0x00010170,0x0000066f,0x0000066a,0x00be6800,0x02099800,0x00767102,0x00000003,0x0000000c,0x00000013
20,P,4025,4025,51,20,10800,2000,7,,0x90003300,36,51,0x000080d7,0x000026a6,0x000101ae,0x0000066f,0x0000066a,0x01948800,0x01c1f800,0x00890742,0x00000003,0x0000000c,0x00000014
