frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,28832,28737,32,0,0,16000,1,,0x68002000,26,32,0x0035b600,0x0035b600,0x0035b600,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x0020000b,0x0000000c,0x00000000
1,P,22222,22218,35,1,540,16000,2,,0x68002300,26,35,0x00041911,0x00013ab8,0x00083222,0x0000014f,0x0000066a,0x04ef8800,0x00000400,0x00031f82,0x00200003,0x0000000c,0x00000001
2,P,20883,20879,33,2,1080,16000,3,,0x68002100,26,33,0x00041f67,0x00013c9e,0x00083ece,0x0000014f,0x0000066a,0x04358800,0x00000400,0x0003b002,0x00200003,0x0000000c,0x00000002
3,P,24854,24850,32,3,1620,16000,4,,0x68002000,26,32,0x000426ba,0x00013ed1,0x00084d74,0x0000014f,0x0000066a,0x0547d800,0x00003400,0x00039742,0x00200003,0x0000000c,0x00000003
4,P,23258,23254,31,4,2160,16000,5,,0x68001f00,26,31,0x00042c06,0x00014068,0x0008580c,0x0000014f,0x0000066a,0x046c4000,0x00004400,0x00037582,0x00200003,0x0000000c,0x00000004
5,P,28742,28738,30,5,2700,16000,6,,0x68001e00,26,30,0x00043276,0x00014256,0x000864ec,0x0000014f,0x0000066a,0x04f63800,0x00004800,0x00036882,0x00200003,0x0000000c,0x00000005
6,P,26248,26244,29,6,3240,16000,7,,0x68001d00,26,29,0x000435da,0x0001435b,0x00086bb4,0x0000014f,0x0000066a,0x0432f000,0x00004c00,0x00033a82,0x00200003,0x0000000c,0x00000006
7,P,30749,30745,28,7,3780,16000,1,,0x68001c00,26,28,0x00043ae7,0x000144de,0x000875ce,0x0000014f,0x0000066a,0x048ff800,0x00007000,0x00033702,0x00200003,0x0000000c,0x00000007
8,P,27130,27126,27,8,4320,16000,2,,0x68001b00,26,27,0x00043d57,0x0001459a,0x00087aae,0x0000014f,0x0000066a,0x03e94800,0x005a0c00,0x00031a82,0x00200003,0x0000000c,0x00000008
9,P,34702,34698,26,9,4860,16000,3,,0x68001a00,26,26,0x00044230,0x0001470e,0x00088460,0x0000014f,0x0000066a,0x03c77000,0x005a0800,0x00032b02,0x00200003,0x0000000c,0x00000009
10,P,28762,28758,26,10,5400,16000,4,,0x68001a00,26,26,0x0004424f,0x00014717,0x0008849e,0x0000014f,0x0000066a,0x03adc000,0x00750800,0x0002f442,0x00200003,0x0000000c,0x0000000a
11,P,36517,36513,25,11,5940,16000,5,,0x68001900,26,25,0x00044662,0x00014850,0x00088cc4,0x0000014f,0x0000066a,0x04509800,0x00752400,0x00031dc2,0x00200003,0x0000000c,0x0000000b
12,P,28729,28725,26,12,6480,16000,6,,0x68001a00,26,26,0x0004455e,0x00014802,0x00088abc,0x0000014f,0x0000066a,0x037da000,0x00799800,0x0002dfc2,0x00200003,0x0000000c,0x0000000c
