frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,30843,30803,32,0,0,16000,1,,0x68002000,26,32,0x0035b600,0x0035b600,0x0035b600,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x00000003,0x0000000c,0x00000000
1,P,21363,21363,35,1,540,16000,2,,0x68002300,26,35,0x000415c3,0x000139ba,0x00082b86,0x0000014f,0x0000066a,0x02ca4000,0x00004400,0x0037c0c2,0x00000003,0x0000000c,0x00000001
2,P,21991,21991,33,2,1080,16000,3,,0x68002100,26,33,0x00041c84,0x00013bc1,0x00083908,0x0000014f,0x0000066a,0x068af000,0x0118f000,0x00397502,0x00000003,0x0000000c,0x00000002
3,P,24231,24231,32,3,1620,16000,4,,0x68002000,26,32,0x00042328,0x00013dbf,0x00084650,0x0000014f,0x0000066a,0x05029000,0x0118cc00,0x00381302,0x00000003,0x0000000c,0x00000003
4,P,23323,23323,31,4,2160,16000,5,,0x68001f00,26,31,0x000428bf,0x00013f6c,0x0008517e,0x0000014f,0x0000066a,0x03ef8800,0x01f2c400,0x0034a582,0x00000003,0x0000000c,0x00000004
5,P,27452,27452,30,5,2700,16000,6,,0x68001e00,26,30,0x00042f16,0x00014153,0x00085e2c,0x0000014f,0x0000066a,0x042bc800,0x01528800,0x00351882,0x00000003,0x0000000c,0x00000005
6,P,25555,25555,29,6,3240,16000,7,,0x68001d00,26,29,0x0004332f,0x0001428e,0x0008665e,0x0000014f,0x0000066a,0x047d6800,0x01efac00,0x00300842,0x00000003,0x0000000c,0x00000006
7,P,31496,31496,28,7,3780,16000,1,,0x68001c00,26,28,0x0004389c,0x0001442e,0x00087138,0x0000014f,0x0000066a,0x04f02800,0x00b96000,0x00332b82,0x00000003,0x0000000c,0x00000007
8,P,28485,28485,27,8,4320,16000,2,,0x68001b00,26,27,0x00043a89,0x000144c2,0x00087512,0x0000014f,0x0000066a,0x04078000,0x01cd3800,0x002d9fc2,0x00000003,0x0000000c,0x00000008
9,P,34851,34851,26,9,4860,16000,3,,0x68001a00,26,26,0x00043e76,0x000145f0,0x00087cec,0x0000014f,0x0000066a,0x03ff0000,0x017bd000,0x00308e02,0x00000003,0x0000000c,0x00000009
10,P,29375,29375,26,10,5400,16000,4,,0x68001a00,26,26,0x00043e68,0x000145ec,0x00087cd0,0x0000014f,0x0000066a,0x0319f000,0x019b2000,0x002c1302,0x00000003,0x0000000c,0x0000000a
11,P,36740,36740,25,11,5940,16000,5,,0x68001900,26,25,0x000441fe,0x000146ff,0x000883fc,0x0000014f,0x0000066a,0x04767000,0x00863800,0x002f6802,0x00000003,0x0000000c,0x0000000b
12,P,29193,29193,26,12,6480,16000,6,,0x68001a00,26,26,0x000440ba,0x0001469e,0x00088174,0x0000014f,0x0000066a,0x029dc800,0x01c98000,0x002b2282,0x00000003,0x0000000c,0x0000000c
13,P,36842,36842,25,13,7020,16000,7,,0x68001900,26,25,0x000444a6,0x000147cb,0x0008894c,0x0000014f,0x0000066a,0x04558000,0x00de2c00,0x002ee602,0x00000003,0x0000000c,0x0000000d
14,P,29473,29473,26,14,7560,16000,1,,0x68001a00,26,26,0x00044351,0x00014765,0x000886a2,0x0000014f,0x0000066a,0x028f7000,0x01bd3400,0x002ac982,0x00000003,0x0000000c,0x0000000e
15,P,36568,36568,25,15,8100,16000,2,,0x68001900,26,25,0x00044746,0x00014895,0x00088e8c,0x0000014f,0x0000066a,0x0462d000,0x00e22800,0x002f0402,0x00000003,0x0000000c,0x0000000f
16,P,29278,29278,26,16,8640,16000,3,,0x68001a00,26,26,0x00044625,0x0001483e,0x00088c4a,0x0000014f,0x0000066a,0x025a6000,0x01b56400,0x002ac002,0x00000003,0x0000000c,0x00000010
17,P,36652,36652,25,17,9180,16000,4,,0x68001900,26,25,0x00044a84,0x0001498e,0x00089508,0x0000014f,0x0000066a,0x04911800,0x00cee800,0x002ea442,0x00000003,0x0000000c,0x00000011
18,P,29371,29371,26,18,9720,16000,5,,0x68001a00,26,26,0x00044958,0x00014934,0x000892b0,0x0000014f,0x0000066a,0x027a1000,0x01bfac00,0x002ab202,0x00000003,0x0000000c,0x00000012
19,P,37016,37016,25,19,10260,16000,6,,0x68001900,26,25,0x00044df2,0x00014a95,0x00089be4,0x0000014f,0x0000066a,0x0453d000,0x00db7000,0x002ea702,0x00000003,0x0000000c,0x00000013
