RC: vbr 8000 kbps @ 60 fps gop 30, seed QP 32
VCMD: hwid=0x43421500 main_addr=0x1000
FRAMEBUF: alloc 0x73800000+0x16e1000 (1920x1080)  in +0x446000  out +0x0
frame  79: P   qp=16 wait=0 bytes=106    cycles=2043172  nal=1 ok
frame  80: P   qp=16 wait=0 bytes=144    cycles=2043166  nal=1 ok
frame  81: P   qp=16 wait=0 bytes=106    cycles=2043171  nal=1 ok
frame  82: P   qp=16 wait=0 bytes=146    cycles=2043172  nal=1 ok
frame  83: P   qp=16 wait=0 bytes=106    cycles=2043172  nal=1 ok
frame  84: P   qp=16 wait=0 bytes=143    cycles=2043172  nal=1 ok
frame  85: P   qp=16 wait=0 bytes=118    cycles=2043172  nal=1 ok
frame  86: P   qp=16 wait=0 bytes=146    cycles=2043195  nal=1 ok
frame  87: P   qp=16 wait=0 bytes=107    cycles=2043187  nal=1 ok
frame  88: P   qp=16 wait=0 bytes=148    cycles=2043172  nal=1 ok
frame  89: P   qp=16 wait=0 bytes=106    cycles=2043171  nal=1 ok
frame  90: IDR qp=17 wait=0 bytes=867    cycles=2105580  nal=5 ok
frame  91: P   qp=17 wait=0 bytes=112    cycles=2043171  nal=1 ok
frame  92: P   qp=16 wait=0 bytes=146    cycles=2043171  nal=1 ok
frame  93: P   qp=16 wait=0 bytes=106    cycles=2043176  nal=1 ok
frame  94: P   qp=16 wait=0 bytes=145    cycles=2043173  nal=1 ok
frame  95: P   qp=16 wait=0 bytes=106    cycles=2043172  nal=1 ok
frame  96: P   qp=16 wait=0 bytes=145    cycles=2043171  nal=1 ok
frame  97: P   qp=16 wait=0 bytes=106    cycles=2043171  nal=1 ok
frame  98: P   qp=16 wait=0 bytes=146    cycles=2043171  nal=1 ok
frame  99: P   qp=16 wait=0 bytes=127    cycles=2043172  nal=1 ok
frame 100: P   qp=16 wait=0 bytes=149    cycles=2043192  nal=1 ok
frame 101: P   qp=16 wait=0 bytes=125    cycles=2043172  nal=1 ok
frame 102: P   qp=16 wait=0 bytes=148    cycles=2043172  nal=1 ok
frame 103: P   qp=16 wait=0 bytes=132    cycles=2043172  nal=1 ok
frame 104: P   qp=16 wait=0 bytes=146    cycles=2043172  nal=1 ok
frame 105: P   qp=16 wait=0 bytes=141    cycles=2043171  nal=1 ok
frame 106: P   qp=16 wait=0 bytes=149    cycles=2043191  nal=1 ok
frame 107: P   qp=16 wait=0 bytes=138    cycles=2043195  nal=1 ok
frame 108: P   qp=16 wait=0 bytes=143    cycles=2043172  nal=1 ok
frame 109: P   qp=16 wait=0 bytes=148    cycles=2043171  nal=1 ok
frame 110: P   qp=16 wait=0 bytes=158    cycles=2043172  nal=1 ok
frame 111: P   qp=16 wait=0 bytes=159    cycles=2043172  nal=1 ok
frame 112: P   qp=16 wait=0 bytes=159    cycles=2043171  nal=1 ok
frame 113: P   qp=16 wait=0 bytes=148    cycles=2043172  nal=1 ok
frame 114: P   qp=16 wait=0 bytes=199    cycles=2043195  nal=1 ok
frame 115: P   qp=16 wait=0 bytes=107    cycles=2043192  nal=1 ok
frame 116: P   qp=16 wait=0 bytes=143    cycles=2043171  nal=1 ok
frame 117: P   qp=16 wait=0 bytes=106    cycles=2043171  nal=1 ok
frame 118: P   qp=16 wait=0 bytes=144    cycles=2043172  nal=1 ok
frame 119: P   qp=16 wait=0 bytes=106    cycles=2043171  nal=1 ok
frame 120: IDR qp=17 wait=0 bytes=868    cycles=2105797  nal=5 ok
frame 121: P   qp=17 wait=0 bytes=104    cycles=2043173  nal=1 ok
frame 122: P   qp=16 wait=0 bytes=144    cycles=2043195  nal=1 ok
frame 123: P   qp=16 wait=0 bytes=174    cycles=2043172  nal=1 ok
frame 124: P   qp=16 wait=0 bytes=104    cycles=2043172  nal=1 ok
frame 125: P   qp=16 wait=0 bytes=117    cycles=2043165  nal=1 ok
frame 126: P   qp=16 wait=0 bytes=104    cycles=2043165  nal=1 ok
frame 127: P   qp=16 wait=0 bytes=118    cycles=2043172  nal=1 ok
frame 128: P   qp=16 wait=0 bytes=104    cycles=2043171  nal=1 ok
frame 129: P   qp=16 wait=0 bytes=137    cycles=2043171  nal=1 ok
frame 130: P   qp=16 wait=0 bytes=118    cycles=2043171  nal=1 ok
frame 131: P   qp=16 wait=0 bytes=119    cycles=2043171  nal=1 ok
frame 132: P   qp=16 wait=0 bytes=106    cycles=2043171  nal=1 ok
frame 133: P   qp=16 wait=0 bytes=120    cycles=2043181  nal=1 ok
frame 134: P   qp=16 wait=0 bytes=106    cycles=2043166  nal=1 ok
frame 135: P   qp=16 wait=0 bytes=120    cycles=2043187  nal=1 ok
frame 136: P   qp=16 wait=0 bytes=106    cycles=2043171  nal=1 ok
frame 137: P   qp=16 wait=0 bytes=119    cycles=2043174  nal=1 ok
frame 138: P   qp=16 wait=0 bytes=121    cycles=2043172  nal=1 ok
frame 139: P   qp=16 wait=0 bytes=132    cycles=2043171  nal=1 ok
frame 140: P   qp=16 wait=0 bytes=105    cycles=2043172  nal=1 ok
frame 141: P   qp=16 wait=0 bytes=119    cycles=2043172  nal=1 ok
frame 142: P   qp=16 wait=0 bytes=106    cycles=2043172  nal=1 ok
frame 143: P   qp=16 wait=0 bytes=117    cycles=2043171  nal=1 ok
frame 144: P   qp=16 wait=0 bytes=123    cycles=2043172  nal=1 ok
frame 145: P   qp=16 wait=0 bytes=129    cycles=2043212  nal=1 ok
frame 146: P   qp=16 wait=0 bytes=107    cycles=2043171  nal=1 ok
frame 147: P   qp=16 wait=0 bytes=120    cycles=2043172  nal=1 ok
frame 148: P   qp=16 wait=0 bytes=106    cycles=2043171  nal=1 ok
frame 149: P   qp=16 wait=0 bytes=120    cycles=2043171  nal=1 ok
frame 150: IDR qp=17 wait=0 bytes=866    cycles=2105798  nal=5 ok
frame 151: P   qp=17 wait=0 bytes=120    cycles=2043165  nal=1 ok
frame 152: P   qp=16 wait=0 bytes=105    cycles=2043171  nal=1 ok
frame 153: P   qp=16 wait=0 bytes=140    cycles=2043171  nal=1 ok
frame 154: P   qp=16 wait=0 bytes=109    cycles=2043171  nal=1 ok
frame 155: P   qp=16 wait=0 bytes=122    cycles=2043172  nal=1 ok
frame 156: P   qp=16 wait=0 bytes=104    cycles=2043172  nal=1 ok
frame 157: P   qp=16 wait=0 bytes=117    cycles=2043186  nal=1 ok
frame 158: P   qp=16 wait=0 bytes=103    cycles=2043172  nal=1 ok
frame 159: P   qp=16 wait=0 bytes=136    cycles=2043172  nal=1 ok
frame 160: P   qp=16 wait=0 bytes=118    cycles=2043172  nal=1 ok
frame 161: P   qp=16 wait=0 bytes=120    cycles=2043171  nal=1 ok
frame 162: P   qp=16 wait=0 bytes=106    cycles=2043171  nal=1 ok
frame 163: P   qp=16 wait=0 bytes=120    cycles=2043172  nal=1 ok
frame 164: P   qp=16 wait=0 bytes=106    cycles=2043172  nal=1 ok
frame 165: P   qp=16 wait=0 bytes=119    cycles=2043172  nal=1 ok
frame 166: P   qp=16 wait=0 bytes=105    cycles=2043172  nal=1 ok
frame 167: P   qp=16 wait=0 bytes=119    cycles=2043196  nal=1 ok
frame 168: P   qp=16 wait=0 bytes=122    cycles=2043175  nal=1 ok
frame 169: P   qp=16 wait=0 bytes=133    cycles=2043171  nal=1 ok
frame 170: P   qp=16 wait=0 bytes=105    cycles=2043172  nal=1 ok
frame 171: P   qp=16 wait=0 bytes=119    cycles=2043193  nal=1 ok
frame 172: P   qp=16 wait=0 bytes=106    cycles=2043172  nal=1 ok
frame 173: P   qp=16 wait=0 bytes=117    cycles=2043171  nal=1 ok
frame 174: P   qp=16 wait=0 bytes=122    cycles=2043171  nal=1 ok
frame 175: P   qp=16 wait=0 bytes=129    cycles=2043171  nal=1 ok
frame 176: P   qp=16 wait=0 bytes=106    cycles=2043172  nal=1 ok
frame 177: P   qp=16 wait=0 bytes=120    cycles=2043171  nal=1 ok
frame 178: P   qp=16 wait=0 bytes=106    cycles=2043172  nal=1 ok
frame 179: P   qp=16 wait=0 bytes=119    cycles=2043171  nal=1 ok

RESULT: PASS -- 180/180 frames blob-free (28727 stream bytes, written; avg P = 135 bytes; RC achieved 76 kbps over 180 frames (target 8000))
