CODEC: H.265/HEVC (fixed-QP overlay, level_idc 123)
RC: cbr 8000 kbps @ 60 fps gop 30, seed QP 32
VCMD: hwid=0x43421500 main_addr=0x1000
FRAMEBUF: alloc 0x73800000+0x16e1000 (1920x1080)  in +0x446000  out +0x0
frame 108: P   qp=16 wait=0 bytes=142    cycles=2079311  nal=1 ok
frame 109: P   qp=16 wait=0 bytes=117    cycles=2079417  nal=1 ok
frame 110: P   qp=16 wait=0 bytes=131    cycles=2079578  nal=1 ok
frame 111: P   qp=16 wait=0 bytes=126    cycles=2079746  nal=1 ok
frame 112: P   qp=16 wait=0 bytes=124    cycles=2079908  nal=1 ok
frame 113: P   qp=16 wait=0 bytes=99     cycles=2079715  nal=1 ok
frame 114: P   qp=16 wait=0 bytes=158    cycles=2079608  nal=1 ok
frame 115: P   qp=16 wait=0 bytes=87     cycles=2079920  nal=1 ok
frame 116: P   qp=16 wait=0 bytes=99     cycles=2081140  nal=1 ok
frame 117: P   qp=16 wait=0 bytes=87     cycles=2079786  nal=1 ok
frame 118: P   qp=16 wait=0 bytes=90     cycles=2079777  nal=1 ok
frame 119: P   qp=16 wait=0 bytes=87     cycles=2079773  nal=1 ok
frame 120: IDR qp=24 wait=0 bytes=856    cycles=2079326  nal=19 ok
frame 121: P   qp=27 wait=0 bytes=321    cycles=2087257  nal=1 ok
frame 122: P   qp=26 wait=0 bytes=348    cycles=2088300  nal=1 ok
frame 123: P   qp=25 wait=0 bytes=326    cycles=2088109  nal=1 ok
frame 124: P   qp=24 wait=0 bytes=207    cycles=2086155  nal=1 ok
frame 125: P   qp=23 wait=0 bytes=161    cycles=2085772  nal=1 ok
frame 126: P   qp=22 wait=0 bytes=197    cycles=2086275  nal=1 ok
frame 127: P   qp=21 wait=0 bytes=207    cycles=2086530  nal=1 ok
frame 128: P   qp=20 wait=0 bytes=196    cycles=2087378  nal=1 ok
frame 129: P   qp=19 wait=0 bytes=131    cycles=2085295  nal=1 ok
frame 130: P   qp=18 wait=0 bytes=116    cycles=2085316  nal=1 ok
frame 131: P   qp=17 wait=0 bytes=112    cycles=2079113  nal=1 ok
frame 132: P   qp=16 wait=0 bytes=162    cycles=2079696  nal=1 ok
frame 133: P   qp=16 wait=0 bytes=89     cycles=2079428  nal=1 ok
frame 134: P   qp=16 wait=0 bytes=95     cycles=2079467  nal=1 ok
frame 135: P   qp=16 wait=0 bytes=91     cycles=2079464  nal=1 ok
frame 136: P   qp=16 wait=0 bytes=93     cycles=2079478  nal=1 ok
frame 137: P   qp=16 wait=0 bytes=89     cycles=2079467  nal=1 ok
frame 138: P   qp=16 wait=0 bytes=106    cycles=2079389  nal=1 ok
frame 139: P   qp=16 wait=0 bytes=101    cycles=2079302  nal=1 ok
frame 140: P   qp=16 wait=0 bytes=102    cycles=2079268  nal=1 ok
frame 141: P   qp=16 wait=0 bytes=98     cycles=2079462  nal=1 ok
frame 142: P   qp=16 wait=0 bytes=99     cycles=2079458  nal=1 ok
frame 143: P   qp=16 wait=0 bytes=101    cycles=2079439  nal=1 ok
frame 144: P   qp=16 wait=0 bytes=115    cycles=2079280  nal=1 ok
frame 145: P   qp=16 wait=0 bytes=101    cycles=2079255  nal=1 ok
frame 146: P   qp=16 wait=0 bytes=98     cycles=2079442  nal=1 ok
frame 147: P   qp=16 wait=0 bytes=91     cycles=2079429  nal=1 ok
