RC: cbr 8000 kbps @ 60 fps gop 30, seed QP 32 (retarget at half-way)
VCMD: hwid=0x43421500 main_addr=0x1000
FRAMEBUF: alloc 0x73800000+0x16e1000 (1920x1080)  in +0x446000  out +0x0
frame  51: P   qp=19 wait=0 bytes=103    cycles=2043174  nal=1 ok
frame  52: P   qp=19 wait=0 bytes=142    cycles=2043174  nal=1 ok
frame  53: P   qp=19 wait=0 bytes=104    cycles=2043174  nal=1 ok
frame  54: P   qp=19 wait=0 bytes=148    cycles=2043195  nal=1 ok
frame  55: P   qp=19 wait=0 bytes=120    cycles=2043194  nal=1 ok
frame  56: P   qp=19 wait=0 bytes=143    cycles=2043174  nal=1 ok
frame  57: P   qp=19 wait=0 bytes=103    cycles=2043174  nal=1 ok
frame  58: P   qp=19 wait=0 bytes=143    cycles=2043203  nal=1 ok
frame  59: P   qp=19 wait=0 bytes=104    cycles=2043174  nal=1 ok
frame  60: IDR qp=28 wait=0 bytes=728    cycles=2091258  nal=5 ok
frame  61: P   qp=31 wait=0 bytes=107    cycles=2043172  nal=1 ok
frame  62: P   qp=30 wait=0 bytes=136    cycles=2043172  nal=1 ok
frame  63: P   qp=29 wait=0 bytes=99     cycles=2043171  nal=1 ok
frame  64: P   qp=28 wait=0 bytes=136    cycles=2043171  nal=1 ok
frame  65: P   qp=27 wait=0 bytes=100    cycles=2043169  nal=1 ok
frame  66: P   qp=26 wait=0 bytes=138    cycles=2043192  nal=1 ok
frame  67: P   qp=25 wait=0 bytes=101    cycles=2043171  nal=1 ok
frame  68: P   qp=24 wait=0 bytes=155    cycles=2043164  nal=1 ok
frame  69: P   qp=23 wait=0 bytes=141    cycles=2043171  nal=1 ok
frame  70: P   qp=22 wait=0 bytes=148    cycles=2043192  nal=1 ok
frame  71: P   qp=21 wait=0 bytes=103    cycles=2043171  nal=1 ok
frame  72: P   qp=20 wait=0 bytes=143    cycles=2043171  nal=1 ok
frame  73: P   qp=19 wait=0 bytes=103    cycles=2043171  nal=1 ok
frame  74: P   qp=18 wait=0 bytes=147    cycles=2043172  nal=1 ok
frame  75: P   qp=17 wait=0 bytes=135    cycles=2043171  nal=1 ok
frame  76: P   qp=17 wait=0 bytes=160    cycles=2043171  nal=1 ok
frame  77: P   qp=17 wait=0 bytes=104    cycles=2043171  nal=1 ok
frame  78: P   qp=17 wait=0 bytes=143    cycles=2043172  nal=1 ok
frame  79: P   qp=17 wait=0 bytes=105    cycles=2043177  nal=1 ok
