CODEC: H.265/HEVC (fixed-QP overlay, level_idc 123)
RC: vbr 2000 kbps @ 60 fps gop 30, seed QP 36
VCMD: hwid=0x43421500 main_addr=0x1000
FRAMEBUF: alloc 0x73800000+0x16e1000 (1920x1080)  in +0x446000  out +0x0
frame  78: P   qp=16 wait=0 bytes=93     cycles=2085478  nal=1 ok
frame  79: P   qp=16 wait=0 bytes=75     cycles=2085522  nal=1 ok
frame  80: P   qp=16 wait=0 bytes=100    cycles=2085499  nal=1 ok
frame  81: P   qp=16 wait=0 bytes=76     cycles=2085515  nal=1 ok
frame  82: P   qp=16 wait=0 bytes=93     cycles=2085497  nal=1 ok
frame  83: P   qp=16 wait=0 bytes=76     cycles=2085504  nal=1 ok
frame  84: P   qp=16 wait=0 bytes=111    cycles=2085341  nal=1 ok
frame  85: P   qp=16 wait=0 bytes=93     cycles=2085317  nal=1 ok
frame  86: P   qp=16 wait=0 bytes=97     cycles=2085302  nal=1 ok
frame  87: P   qp=16 wait=0 bytes=88     cycles=2085521  nal=1 ok
frame  88: P   qp=16 wait=0 bytes=104    cycles=2085494  nal=1 ok
frame  89: P   qp=16 wait=0 bytes=87     cycles=2085476  nal=1 ok
frame  90: IDR qp=17 wait=0 bytes=805    cycles=2080472  nal=19 ok
frame  91: P   qp=17 wait=0 bytes=102    cycles=2085325  nal=1 ok
frame  92: P   qp=16 wait=0 bytes=117    cycles=2088289  nal=1 ok
frame  93: P   qp=16 wait=0 bytes=80     cycles=2085496  nal=1 ok
frame  94: P   qp=16 wait=0 bytes=92     cycles=2085497  nal=1 ok
frame  95: P   qp=16 wait=0 bytes=76     cycles=2085515  nal=1 ok
frame  96: P   qp=16 wait=0 bytes=100    cycles=2085491  nal=1 ok
frame  97: P   qp=16 wait=0 bytes=76     cycles=2085511  nal=1 ok
frame  98: P   qp=16 wait=0 bytes=101    cycles=2085307  nal=1 ok
frame  99: P   qp=16 wait=0 bytes=103    cycles=2085116  nal=1 ok
frame 100: P   qp=16 wait=0 bytes=117    cycles=2085139  nal=1 ok
frame 101: P   qp=16 wait=0 bytes=84     cycles=2085487  nal=1 ok
frame 102: P   qp=16 wait=0 bytes=96     cycles=2085439  nal=1 ok
frame 103: P   qp=16 wait=0 bytes=90     cycles=2085426  nal=1 ok
frame 104: P   qp=16 wait=0 bytes=108    cycles=2085302  nal=1 ok
frame 105: P   qp=16 wait=0 bytes=107    cycles=2085033  nal=1 ok
frame 106: P   qp=16 wait=0 bytes=94     cycles=2085426  nal=1 ok
frame 107: P   qp=16 wait=0 bytes=98     cycles=2085224  nal=1 ok
frame 108: P   qp=16 wait=0 bytes=108    cycles=2085274  nal=1 ok
frame 109: P   qp=16 wait=0 bytes=83     cycles=2085267  nal=1 ok
frame 110: P   qp=16 wait=0 bytes=113    cycles=2085203  nal=1 ok
frame 111: P   qp=16 wait=0 bytes=93     cycles=2085447  nal=1 ok
frame 112: P   qp=16 wait=0 bytes=111    cycles=2085637  nal=1 ok
frame 113: P   qp=16 wait=0 bytes=87     cycles=2085640  nal=1 ok
frame 114: P   qp=16 wait=0 bytes=146    cycles=2085434  nal=1 ok
frame 115: P   qp=16 wait=0 bytes=77     cycles=2085640  nal=1 ok
frame 116: P   qp=16 wait=0 bytes=84     cycles=2085746  nal=1 ok
frame 117: P   qp=16 wait=0 bytes=77     cycles=2085506  nal=1 ok
frame 118: P   qp=16 wait=0 bytes=80     cycles=2085514  nal=1 ok
frame 119: P   qp=16 wait=0 bytes=77     cycles=2085549  nal=1 ok
frame 120: IDR qp=17 wait=0 bytes=761    cycles=2081163  nal=19 ok
frame 121: P   qp=17 wait=0 bytes=83     cycles=2085641  nal=1 ok
frame 122: P   qp=16 wait=0 bytes=88     cycles=2088369  nal=1 ok
frame 123: P   qp=16 wait=0 bytes=142    cycles=2085610  nal=1 ok
frame 124: P   qp=16 wait=0 bytes=97     cycles=2085519  nal=1 ok
frame 125: P   qp=16 wait=0 bytes=91     cycles=2085665  nal=1 ok
frame 126: P   qp=16 wait=0 bytes=92     cycles=2085388  nal=1 ok
frame 127: P   qp=16 wait=0 bytes=93     cycles=2085806  nal=1 ok
frame 128: P   qp=16 wait=0 bytes=86     cycles=2085280  nal=1 ok
frame 129: P   qp=16 wait=0 bytes=113    cycles=2085398  nal=1 ok
frame 130: P   qp=16 wait=0 bytes=84     cycles=2085455  nal=1 ok
frame 131: P   qp=16 wait=0 bytes=78     cycles=2085457  nal=1 ok
