=== pool_asic3: priming H.264 encode (6 frames @ 8000 kbps) ===
  read_img[0] rc=1 len=32
  read_img[1] rc=2 len=8
  read_img[2] rc=3 len=19439
  read_img[3] rc=4 len=11365
  read_img[4] rc=4 len=10490
  read_img[5] rc=4 len=8078
=== encoder register image base (first 0x90101010) = 0x7381c800 ===
=== FULL RAW DUMP: encoder register image, swreg0..319 (absolute phys) ===
phys=0x7381c9b0  +0x1b0  swreg108  0x00000000
phys=0x7381c9b4  +0x1b4  swreg109  0x00000000
phys=0x7381c9b8  +0x1b8  swreg110  0x00000000
phys=0x7381c9bc  +0x1bc  swreg111  0x00000000
phys=0x7381c9c0  +0x1c0  swreg112  0x00000000
phys=0x7381c9c4  +0x1c4  swreg113  0x00000000
phys=0x7381c9c8  +0x1c8  swreg114  0x75435000
phys=0x7381c9cc  +0x1cc  swreg115  0x00000000
phys=0x7381c9d0  +0x1d0  swreg116  0x00000000
phys=0x7381c9d4  +0x1d4  swreg117  0x00000000
phys=0x7381c9d8  +0x1d8  swreg118  0x00000000
phys=0x7381c9dc  +0x1dc  swreg119  0x00000000
phys=0x7381c9e0  +0x1e0  swreg120  0x00000000
phys=0x7381c9e4  +0x1e4  swreg121  0x00000000
phys=0x7381c9e8  +0x1e8  swreg122  0x00000000
phys=0x7381c9ec  +0x1ec  swreg123  0x00000000
phys=0x7381c9f0  +0x1f0  swreg124  0x00000000
phys=0x7381c9f4  +0x1f4  swreg125  0x00000000
phys=0x7381c9f8  +0x1f8  swreg126  0x00000000
phys=0x7381c9fc  +0x1fc  swreg127  0x00000000
phys=0x7381ca00  +0x200  swreg128  0x00000000
phys=0x7381ca04  +0x204  swreg129  0x00000000
phys=0x7381ca08  +0x208  swreg130  0x00000000
phys=0x7381ca0c  +0x20c  swreg131  0x00000000
phys=0x7381ca10  +0x210  swreg132  0x00000000
phys=0x7381ca14  +0x214  swreg133  0x00000000
phys=0x7381ca18  +0x218  swreg134  0x0a000080
phys=0x7381ca1c  +0x21c  swreg135  0x00000000
phys=0x7381ca20  +0x220  swreg136  0x2c000000
phys=0x7381ca24  +0x224  swreg137  0x00000000
phys=0x7381ca28  +0x228  swreg138  0x00000000
phys=0x7381ca2c  +0x22c  swreg139  0x00000000
phys=0x7381ca30  +0x230  swreg140  0x00000000
phys=0x7381ca34  +0x234  swreg141  0x00000000
phys=0x7381ca38  +0x238  swreg142  0x00000000
phys=0x7381ca3c  +0x23c  swreg143  0x00000000
phys=0x7381ca40  +0x240  swreg144  0x00000000
phys=0x7381ca44  +0x244  swreg145  0x00000000
phys=0x7381ca48  +0x248  swreg146  0x00000000
phys=0x7381ca4c  +0x24c  swreg147  0x00000000
phys=0x7381ca50  +0x250  swreg148  0x00000000
phys=0x7381ca54  +0x254  swreg149  0x00000000
phys=0x7381ca58  +0x258  swreg150  0x00000000
phys=0x7381ca5c  +0x25c  swreg151  0x00000000
phys=0x7381ca60  +0x260  swreg152  0x00000000
phys=0x7381ca64  +0x264  swreg153  0x00000000
phys=0x7381ca68  +0x268  swreg154  0x00000000
phys=0x7381ca6c  +0x26c  swreg155  0x00000000
phys=0x7381ca70  +0x270  swreg156  0x00000000
phys=0x7381ca74  +0x274  swreg157  0x00000000
phys=0x7381ca78  +0x278  swreg158  0x00000000
phys=0x7381ca7c  +0x27c  swreg159  0x00000000
phys=0x7381ca80  +0x280  swreg160  0x00000000
phys=0x7381ca84  +0x284  swreg161  0x00000000
phys=0x7381ca88  +0x288  swreg162  0x00000000
phys=0x7381ca8c  +0x28c  swreg163  0x00000000
phys=0x7381ca90  +0x290  swreg164  0x00000000
phys=0x7381ca94  +0x294  swreg165  0x00000000
phys=0x7381ca98  +0x298  swreg166  0x00000000
phys=0x7381ca9c  +0x29c  swreg167  0x00000000
phys=0x7381caa0  +0x2a0  swreg168  0x00000000
phys=0x7381caa4  +0x2a4  swreg169  0x00000000
phys=0x7381caa8  +0x2a8  swreg170  0x00332700
phys=0x7381caac  +0x2ac  swreg171  0x00393700
phys=0x7381cab0  +0x2b0  swreg172  0x0000014f
phys=0x7381cab4  +0x2b4  swreg173  0x00000662
phys=0x7381cab8  +0x2b8  swreg174  0x00000000
phys=0x7381cabc  +0x2bc  swreg175  0x00000000
phys=0x7381cac0  +0x2c0  swreg176  0x00000000
phys=0x7381cac4  +0x2c4  swreg177  0x00000000
phys=0x7381cac8  +0x2c8  swreg178  0x00000000
phys=0x7381cacc  +0x2cc  swreg179  0x00000000
phys=0x7381cad0  +0x2d0  swreg180  0x00000000
phys=0x7381cad4  +0x2d4  swreg181  0x00000000
phys=0x7381cad8  +0x2d8  swreg182  0x00000139
phys=0x7381cadc  +0x2dc  swreg183  0x03bc7000
phys=0x7381cae0  +0x2e0  swreg184  0x07f80000
phys=0x7381cae4  +0x2e4  swreg185  0x065b0800
phys=0x7381cae8  +0x2e8  swreg186  0x00000000
phys=0x7381caec  +0x2ec  swreg187  0x00000000
phys=0x7381caf0  +0x2f0  swreg188  0x00000000
phys=0x7381caf4  +0x2f4  swreg189  0x00000000
phys=0x7381caf8  +0x2f8  swreg190  0x04000000
phys=0x7381cafc  +0x2fc  swreg191  0x14000000
phys=0x7381cb00  +0x300  swreg192  0x00000000
phys=0x7381cb04  +0x304  swreg193  0x0010011d
phys=0x7381cb08  +0x308  swreg194  0x0010011c
phys=0x7381cb0c  +0x30c  swreg195  0x0000fff0
phys=0x7381cb10  +0x310  swreg196  0x00100000
phys=0x7381cb14  +0x314  swreg197  0x00000000
phys=0x7381cb18  +0x318  swreg198  0x00000000
phys=0x7381cb1c  +0x31c  swreg199  0x00000000
phys=0x7381cb20  +0x320  swreg200  0x00000000
phys=0x7381cb24  +0x324  swreg201  0x00000000
phys=0x7381cb28  +0x328  swreg202  0x00000000
phys=0x7381cb2c  +0x32c  swreg203  0x00000000
phys=0x7381cb30  +0x330  swreg204  0x00000000
phys=0x7381cb34  +0x334  swreg205  0x00000000
phys=0x7381cb38  +0x338  swreg206  0x00000000
phys=0x7381cb3c  +0x33c  swreg207  0x00000000
phys=0x7381cb40  +0x340  swreg208  0x78001ff0
phys=0x7381cb44  +0x344  swreg209  0xffffffe0
