# register image marker#4 @0x73824800  swreg0..400
phys=0x73824800  +0x000  swreg0    0x90101010
phys=0x73824804  +0x004  swreg1    0x00000805
phys=0x73824808  +0x008  swreg2    0x000000f0
phys=0x7382480c  +0x00c  swreg3    0xff000000
phys=0x73824810  +0x010  swreg4    0x4090004a
phys=0x73824814  +0x014  swreg5    0x3c044300
phys=0x73824818  +0x018  swreg6    0x00000003
phys=0x7382481c  +0x01c  swreg7    0x80022000
phys=0x73824820  +0x020  swreg8    0x749ce000
phys=0x73824824  +0x024  swreg9    0x000012ff
phys=0x73824828  +0x028  swreg10   0x7541f000
phys=0x7382482c  +0x02c  swreg11   0x00000002
phys=0x73824830  +0x030  swreg12   0x73c45000
phys=0x73824834  +0x034  swreg13   0x74039800
phys=0x73824838  +0x038  swreg14   0x74233c00
phys=0x7382483c  +0x03c  swreg15   0x74de5000
phys=0x73824840  +0x040  swreg16   0x75221000
phys=0x73824844  +0x044  swreg17   0xffd0007c
phys=0x73824848  +0x048  swreg18   0x75003000
phys=0x7382484c  +0x04c  swreg19   0x75320000
phys=0x73824850  +0x050  swreg20   0x00000000
phys=0x73824854  +0x054  swreg21   0x00000000
phys=0x73824858  +0x058  swreg22   0x0000000c
phys=0x7382485c  +0x05c  swreg23   0xffffffff
phys=0x73824860  +0x060  swreg24   0xffffffff
phys=0x73824864  +0x064  swreg25   0xffffffff
phys=0x73824868  +0x068  swreg26   0x54551760
phys=0x7382486c  +0x06c  swreg27   0x76306300
phys=0x73824870  +0x070  swreg28   0x00000000
phys=0x73824874  +0x074  swreg29   0x00000000
phys=0x73824878  +0x078  swreg30   0x00000000
phys=0x7382487c  +0x07c  swreg31   0x00000000
phys=0x73824880  +0x080  swreg32   0x00000000
phys=0x73824884  +0x084  swreg33   0x00000000
phys=0x73824888  +0x088  swreg34   0x00000000
phys=0x7382488c  +0x08c  swreg35   0x00018e1a
phys=0x73824890  +0x090  swreg36   0x1c995f3c
phys=0x73824894  +0x094  swreg37   0x00780280
phys=0x73824898  +0x098  swreg38   0x2001e000
phys=0x7382489c  +0x09c  swreg39   0x00000000
phys=0x738248a0  +0x0a0  swreg40   0x00000000
phys=0x738248a4  +0x0a4  swreg41   0x00000000
phys=0x738248a8  +0x0a8  swreg42   0x00000000
phys=0x738248ac  +0x0ac  swreg43   0x00000000
phys=0x738248b0  +0x0b0  swreg44   0x00000000
phys=0x738248b4  +0x0b4  swreg45   0x07f80200
phys=0x738248b8  +0x0b8  swreg46   0x74dd3000
phys=0x738248bc  +0x0bc  swreg47   0x00000000
phys=0x738248c0  +0x0c0  swreg48   0x00000000
phys=0x738248c4  +0x0c4  swreg49   0x00000000
phys=0x738248c8  +0x0c8  swreg50   0x00000000
phys=0x738248cc  +0x0cc  swreg51   0x00000000
phys=0x738248d0  +0x0d0  swreg52   0x00000000
phys=0x738248d4  +0x0d4  swreg53   0x00000000
phys=0x738248d8  +0x0d8  swreg54   0x00000000
phys=0x738248dc  +0x0dc  swreg55   0x00000000
phys=0x738248e0  +0x0e0  swreg56   0x00000000
phys=0x738248e4  +0x0e4  swreg57   0x00000000
phys=0x738248e8  +0x0e8  swreg58   0x00000000
phys=0x738248ec  +0x0ec  swreg59   0x00000000
phys=0x738248f0  +0x0f0  swreg60   0x75429000
phys=0x738248f4  +0x0f4  swreg61   0x00000000
phys=0x738248f8  +0x0f8  swreg62   0x7542a000
phys=0x738248fc  +0x0fc  swreg63   0x00000000
phys=0x73824900  +0x100  swreg64   0x7542f000
phys=0x73824904  +0x104  swreg65   0x00000000
phys=0x73824908  +0x108  swreg66   0x75430000
phys=0x7382490c  +0x10c  swreg67   0x00000000
phys=0x73824910  +0x110  swreg68   0x00000000
phys=0x73824914  +0x114  swreg69   0x00000000
phys=0x73824918  +0x118  swreg70   0x00000000
phys=0x7382491c  +0x11c  swreg71   0x00000000
phys=0x73824920  +0x120  swreg72   0x74fe3000
phys=0x73824924  +0x124  swreg73   0x00000000
phys=0x73824928  +0x128  swreg74   0x75201000
phys=0x7382492c  +0x12c  swreg75   0x00000000
phys=0x73824930  +0x130  swreg76   0x00000000
phys=0x73824934  +0x134  swreg77   0x00000000
phys=0x73824938  +0x138  swreg78   0x00001fe0
phys=0x7382493c  +0x13c  swreg79   0x000012ff
phys=0x73824940  +0x140  swreg80   0x88da4280
phys=0x73824944  +0x144  swreg81   0x10000000
phys=0x73824948  +0x148  swreg82   0x001f2c74
phys=0x7382494c  +0x14c  swreg83   0x00000000
phys=0x73824950  +0x150  swreg84   0x00000000
phys=0x73824954  +0x154  swreg85   0x00000000
phys=0x73824958  +0x158  swreg86   0x00000000
phys=0x7382495c  +0x15c  swreg87   0x00000000
phys=0x73824960  +0x160  swreg88   0x00000000
phys=0x73824964  +0x164  swreg89   0x00000000
phys=0x73824968  +0x168  swreg90   0x00000000
phys=0x7382496c  +0x16c  swreg91   0x00000000
phys=0x73824970  +0x170  swreg92   0x00000000
phys=0x73824974  +0x174  swreg93   0x00000000
phys=0x73824978  +0x178  swreg94   0x00000000
phys=0x7382497c  +0x17c  swreg95   0x00000000
phys=0x73824980  +0x180  swreg96   0x00000000
phys=0x73824984  +0x184  swreg97   0x00000000
phys=0x73824988  +0x188  swreg98   0x00000000
phys=0x7382498c  +0x18c  swreg99   0x00000000
phys=0x73824990  +0x190  swreg100  0x00000000
phys=0x73824994  +0x194  swreg101  0x00000000
phys=0x73824998  +0x198  swreg102  0x00000000
phys=0x7382499c  +0x19c  swreg103  0x00000000
phys=0x738249a0  +0x1a0  swreg104  0x00000000
phys=0x738249a4  +0x1a4  swreg105  0x000365ca
phys=0x738249a8  +0x1a8  swreg106  0x000104ef
phys=0x738249ac  +0x1ac  swreg107  0x0006cb94
phys=0x738249b0  +0x1b0  swreg108  0x00000000
phys=0x738249b4  +0x1b4  swreg109  0x00000000
phys=0x738249b8  +0x1b8  swreg110  0x00000000
phys=0x738249bc  +0x1bc  swreg111  0x0070c000
phys=0x738249c0  +0x1c0  swreg112  0x06994000
phys=0x738249c4  +0x1c4  swreg113  0x0000fe33
phys=0x738249c8  +0x1c8  swreg114  0x75435000
phys=0x738249cc  +0x1cc  swreg115  0x00000000
