frame,type,bytes,slice_qp
0,I,9677,32
1,P,6181,35
2,P,14747,33
3,P,11594,32
4,P,17453,31
5,P,6133,31
6,P,17371,30
7,P,10969,30
8,P,18495,29
9,P,5633,30
10,P,17651,29
11,P,11542,29
12,P,19184,28
13,P,6097,29
14,P,17771,28
15,P,12262,28
16,P,22047,27
17,P,6854,28
18,P,19718,27
19,P,11861,28
20,P,21471,27
21,P,6092,28
22,P,19951,27
23,P,13953,27
24,P,21273,26
25,P,6916,27
26,P,19400,26
27,P,16165,26
28,P,24066,25
29,P,9755,26
30,I,12322,30
31,P,9446,33
32,P,15524,32
33,P,6930,31
34,P,17036,30
35,P,11795,29
36,P,19256,28
37,P,9585,27
38,P,19917,26
39,P,17398,25
40,P,24745,24
41,P,11069,25
42,P,20031,24
43,P,17524,23
44,P,22915,22
45,P,12572,22
46,P,23563,21
47,P,16896,21
48,P,23630,20
49,P,13789,20
50,P,19911,19
51,P,14595,19
52,P,21958,19
53,P,12487,19
54,P,21621,19
55,P,14635,19
56,P,21610,19
57,P,12715,19
58,P,23209,19
59,P,12891,19
60,I,12692,28
61,P,8932,31
62,P,16535,30
63,P,13651,29
64,P,18923,28
65,P,8031,28
66,P,20146,27
67,P,11811,28
68,P,21870,27
69,P,6196,28
70,P,19882,27
71,P,11510,28
72,P,21293,27
73,P,6081,28
74,P,19857,27
75,P,11583,28
76,P,21477,27
77,P,6081,28
78,P,19771,27
79,P,13706,27
80,P,21028,26
81,P,6993,27
82,P,19362,26
83,P,16185,26
84,P,23687,25
85,P,9638,26
86,P,20281,25
87,P,13268,26
88,P,22362,25
89,P,8928,26
