frame,type,bytes,slice_qp
0,I,8319,37
1,P,4372,40
2,P,9367,42
3,P,5059,44
4,P,9602,44
5,P,4984,46
6,P,9659,46
7,P,4815,48
8,P,10101,48
9,P,3752,50
10,P,8839,48
11,P,4522,50
12,P,9683,50
13,P,2143,51
14,P,9325,49
15,P,2366,51
16,P,10127,49
17,P,2217,51
18,P,9387,49
19,P,2430,51
20,P,10094,49
21,P,2240,51
22,P,9465,49
23,P,2548,51
24,P,10305,49
25,P,2202,51
26,P,9449,49
27,P,2361,51
28,P,10137,49
29,P,2214,51
30,I,11214,37
31,P,3987,40
32,P,9475,40
33,P,3803,42
34,P,9183,42
35,P,4523,44
36,P,9809,46
37,P,3721,46
38,P,9324,46
39,P,4976,46
40,P,10185,46
41,P,3788,46
42,P,9320,46
43,P,4755,46
44,P,10032,46
45,P,3726,46
46,P,9421,46
47,P,4849,46
48,P,9911,46
49,P,3986,46
50,P,9418,46
51,P,4990,46
52,P,10023,46
53,P,3738,46
54,P,9351,46
55,P,4881,46
56,P,10136,46
57,P,3792,46
58,P,9326,46
59,P,4935,46
60,I,8405,37
61,P,5377,40
62,P,9477,40
63,P,4074,42
64,P,9673,43
65,P,3910,45
66,P,9384,45
67,P,5036,46
68,P,10039,46
69,P,3755,46
70,P,9231,46
71,P,4845,46
72,P,10160,46
73,P,3711,46
74,P,9309,46
75,P,4862,46
76,P,10053,46
77,P,3819,46
78,P,9431,46
79,P,4846,46
80,P,9992,46
81,P,4024,46
82,P,9390,46
83,P,4925,46
84,P,10040,46
85,P,3668,46
86,P,9310,46
87,P,4960,46
88,P,10146,46
89,P,3788,46
