frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,30842,30802,32,0,0,8000,2,,0x80002000,32,32,0x001adb00,0x001adb00,0x001adb00,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x00000003,0x0000000c,0x00000000
1,P,8800,8800,35,1,0,8000,3,,0x80002300,32,35,0x0001f184,0x0001d8a3,0x00020a64,0x0000014f,0x0000066a,0x02ca4000,0x00004400,0x0037c0c2,0x00000003,0x0000000c,0x00000001
2,P,10590,10590,33,2,0,8000,4,,0x80002100,32,33,0x0001f57e,0x0001dc6a,0x00020e91,0x0000014f,0x0000066a,0x038b3000,0x0037e000,0x00121182,0x00000003,0x0000000c,0x00000002
3,P,7117,7117,32,3,0,8000,5,,0x80002000,32,32,0x0001f897,0x0001df5c,0x000211d1,0x0000014f,0x0000066a,0x022e5800,0x006e8400,0x000f1182,0x00000003,0x0000000c,0x00000003
4,P,7369,7369,31,4,0,8000,6,,0x80001f00,32,31,0x0001fdd1,0x0001e453,0x0002174e,0x0000014f,0x0000066a,0x01a9e000,0x00430000,0x000d15c2,0x00000003,0x0000000c,0x00000004
5,P,7015,7011,30,5,0,8000,7,,0x80001e00,32,30,0x00020317,0x0001e955,0x00021cd8,0x0000014f,0x0000066a,0x01669000,0x00810800,0x000ba042,0x00000003,0x0000000c,0x00000005
