# transitions of watched words during Start..Stop (t0 = first sample); 4000 events
# t_us csi+04 csi+28 csi+2c csi+40 csi+4c csi+50 csi+100 csi+110 csi+118 dphy+34 dphy+110 glb+00
     0.0 deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef deadbeef 000005af
 20089.4 deadbeef deadbeef deadbeef deadbeef deadbeef 00111100 00000002 00000010 00000d1f deadbeef 00000000 000005af
 20100.7 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0005c540 00000000 000005af
 20451.5 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 00058540 00000000 000005af
 20474.0 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0005c540 00000000 000005af
 42738.8 00000000 00000100 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0005c540 00000000 000005af
 42828.0 00000000 00001100 00011ee1 0000001f 00000000 00111100 00000002 00000010 00000d1f 0005c540 00000000 000005af
 42839.3 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 42850.6 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 42861.8 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 42881.3 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 42896.9 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 42910.8 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 42933.3 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 42958.3 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 42980.8 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 42999.0 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43071.6 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43089.8 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43103.7 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43126.1 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43151.2 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43173.7 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43191.8 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43205.7 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43228.2 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43242.1 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43253.4 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43275.9 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43294.1 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43362.7 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43374.1 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43396.5 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43414.7 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43428.6 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43446.7 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43469.2 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43487.3 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43519.4 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43541.8 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43567.0 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43589.5 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43607.6 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43621.5 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43644.0 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43657.9 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43669.2 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43687.4 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43709.8 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43746.2 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43764.3 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43778.3 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43789.5 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43807.7 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43825.9 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43880.5 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43891.8 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43909.9 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43928.1 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43950.6 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43964.4 00000000 00001060 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 43986.9 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 44012.0 00000000 00001040 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 44030.2 00000000 00000000 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
 44052.6 00000000 00001020 00011ee1 0000001f 00000000 00111100 00000001 00000010 00000d1f 0005c540 00000000 000005af
