frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,22054,21958,36,0,4,2000,1,,0x90002400,36,36,0x00000000,0x00000000,0x00000000,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x0020000b,0x0000000c,0x00000000
1,P,1534,1530,36,1,8,2000,2,,0x90002400,36,36,0x00006513,0x00000000,0x0000fd25,0x0000014f,0x0000066a,0x03800000,0x00002800,0x0004b142,0x00200003,0x0000000c,0x00000001
2,P,1478,1474,34,2,12,2000,3,,0x90002200,36,34,0x000066e8,0x00000000,0x000100af,0x0000014f,0x0000066a,0x00f7c800,0x0021d400,0x0001e2c2,0x00200003,0x0000000c,0x00000002
3,P,2122,2118,33,3,16,2000,4,,0x90002100,36,33,0x000068cf,0x00000000,0x00010460,0x0000014f,0x0000066a,0x0085f000,0x00139c00,0x0001aac2,0x00200003,0x0000000c,0x00000003
4,P,2128,2124,32,4,20,2000,5,,0x90002000,36,32,0x00006a04,0x00000000,0x0001046a,0x0000014f,0x0000066a,0x00a6a800,0x00335800,0x00018fc2,0x00200003,0x0000000c,0x00000004
5,P,2667,2663,31,5,24,2000,6,,0x90001f00,36,31,0x00006763,0x00000000,0x0001046a,0x0000014f,0x0000066a,0x009b2800,0x00269000,0x00016c42,0x00200003,0x0000000c,0x00000005
6,P,3125,3121,30,6,28,2000,7,,0x90001e00,36,30,0x000067dc,0x00000000,0x0001046a,0x0000014f,0x0000066a,0x00981000,0x00444000,0x00014682,0x00200003,0x0000000c,0x00000006
7,P,1592,1588,30,7,32,2000,1,,0x90001e00,36,30,0x000067da,0x00000000,0x0001046a,0x0000014f,0x0000066a,0x00cd2000,0x006a4c00,0x000132c2,0x00200003,0x0000000c,0x00000007
8,P,2754,2750,29,8,36,2000,2,,0x90001d00,36,29,0x00006971,0x00000000,0x0001046a,0x0000014f,0x0000066a,0x00912000,0x001cd000,0x00011c42,0x00200003,0x0000000c,0x00000008
9,P,3508,3504,28,9,40,2000,3,,0x90001c00,36,28,0x000069d3,0x00000000,0x0001046a,0x0000014f,0x0000066a,0x013b9000,0x002a2000,0x000106c2,0x00200003,0x0000000c,0x00000009
10,P,574,570,30,10,44,2000,4,,0x90001e00,36,30,0x0000696b,0x00000000,0x0001046a,0x0000014f,0x0000066a,0x00b44000,0x00449000,0x0000f282,0x00200003,0x0000000c,0x0000000a
11,P,1021,1017,29,11,48,2000,5,,0x90001d00,36,29,0x00006c11,0x00000000,0x0001046a,0x0000014f,0x0000066a,0x00630000,0x001f6000,0x0000df82,0x00200003,0x0000000c,0x0000000b
12,P,1995,1991,28,12,52,2000,6,,0x90001c00,36,28,0x00006e41,0x00000000,0x0001046a,0x0000014f,0x0000066a,0x00444000,0x00032800,0x0000e042,0x00200003,0x0000000c,0x0000000c
13,P,2895,2891,27,13,56,2000,7,,0x90001b00,36,27,0x00006f6d,0x00000000,0x0001046a,0x0000014f,0x0000066a,0x0070f800,0x000f9400,0x0000e202,0x00200003,0x0000000c,0x0000000d
14,P,4169,4165,26,14,60,2000,1,,0x90001a00,36,26,0x00006fa8,0x00000000,0x0001046a,0x0000014f,0x0000066a,0x00627000,0x00488800,0x0000d182,0x00200003,0x0000000c,0x0000000e
15,P,570,566,28,15,64,2000,2,,0x90001c00,36,28,0x00006e90,0x00000000,0x0001046a,0x0000014f,0x0000066a,0x009f3800,0x004dac00,0x0000cd82,0x00200003,0x0000000c,0x0000000f
16,P,893,889,27,16,68,2000,3,,0x90001b00,36,27,0x00007138,0x00000000,0x0001046a,0x0000014f,0x0000066a,0x0060e800,0x001f3800,0x0000b242,0x00200003,0x0000000c,0x00000010
17,P,1451,1447,26,17,72,2000,4,,0x90001a00,36,26,0x0000738a,0x00000000,0x0001046a,0x0000014f,0x0000066a,0x00622000,0x0039e000,0x0000ac82,0x00200003,0x0000000c,0x00000011
18,P,2982,2978,25,18,76,2000,5,,0x90001900,36,25,0x00007546,0x00000000,0x0001046a,0x0000014f,0x0000066a,0x00cd8000,0x0010d800,0x0000a682,0x00200003,0x0000000c,0x00000012
19,P,3532,3528,24,19,80,2000,6,,0x90001800,36,24,0x0000756b,0x00000000,0x0001046a,0x0000014f,0x0000066a,0x007f2000,0x005ddc00,0x0000a2c2,0x00200003,0x0000000c,0x00000013
