frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,22107,22066,37,0,0,1000,1,,0x90002500,36,37,0x00035b60,0x00035b60,0x00035b60,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x00000003,0x0000000c,0x00000000
1,P,6562,6562,40,1,540,1000,2,,0x90002800,36,40,0x0000202b,0x000009a6,0x00004056,0x0000014f,0x0000066a,0x01e43000,0x01ac4800,0x0052cdc2,0x00000003,0x0000000c,0x00000001
2,P,5235,5235,42,2,1080,1000,3,,0x90002a00,36,42,0x00001d15,0x000008b9,0x00003a2a,0x0000014f,0x0000066a,0x02bdd800,0x06a63400,0x006ad6c2,0x00000003,0x0000000c,0x00000002
3,P,4998,4998,44,3,1620,1000,4,,0x90002c00,36,44,0x00001aa3,0x000007fd,0x00003546,0x0000014f,0x0000066a,0x00797000,0x03713000,0x0069ea02,0x00000003,0x0000000c,0x00000003
4,P,4858,4858,46,4,2160,1000,5,,0x90002e00,36,46,0x0000183d,0x00000745,0x0000307a,0x0000014f,0x0000066a,0x01aec000,0x031af000,0x006aeec2,0x00000003,0x0000000c,0x00000004
5,P,4831,4831,48,5,2700,1000,6,,0x90003000,36,48,0x000015d4,0x0000068c,0x00002ba8,0x0000014f,0x0000066a,0x016f9000,0x00da6000,0x0069d042,0x00000003,0x0000000c,0x00000005
6,P,4685,4685,50,6,3240,1000,7,,0x90003200,36,50,0x00001359,0x000005cd,0x000026b2,0x0000014f,0x0000066a,0x02403000,0x007b6c00,0x006ecc42,0x00000003,0x0000000c,0x00000006
7,P,4002,4002,51,7,3780,1000,1,,0x90003300,36,51,0x00001e0a,0x00000903,0x00003c14,0x0000066f,0x0000066a,0x01668000,0x00af8400,0x006ba3c2,0x00000003,0x0000000c,0x00000007
8,P,4079,4079,51,8,4320,1000,2,,0x90003300,36,51,0x00001c24,0x00000871,0x00003848,0x0000066f,0x0000066a,0x019b1000,0x02438400,0x00845dc2,0x00000003,0x0000000c,0x00000008
9,P,3999,3999,51,9,4860,1000,3,,0x90003300,36,51,0x00001a1d,0x000007d5,0x0000343a,0x0000066f,0x0000066a,0x010df800,0x01846800,0x0071d0c2,0x00000003,0x0000000c,0x00000009
10,P,4051,4051,51,10,5400,1000,4,,0x90003300,36,51,0x0000180d,0x00000737,0x0000301a,0x0000066f,0x0000066a,0x01528000,0x03848000,0x00862d42,0x00000003,0x0000000c,0x0000000a
11,P,3980,3980,51,11,5940,1000,5,,0x90003300,36,51,0x000015df,0x0000068f,0x00002bbe,0x0000066f,0x0000066a,0x00de6800,0x01d1dc00,0x00752682,0x00000003,0x0000000c,0x0000000b
12,P,3985,3985,51,12,6480,1000,6,,0x90003300,36,51,0x000013a4,0x000005e4,0x00002748,0x0000066f,0x0000066a,0x01378000,0x03cab000,0x0087a1c2,0x00000003,0x0000000c,0x0000000c
13,P,3975,3975,51,13,7020,1000,7,,0x90003300,36,51,0x00001150,0x00000531,0x000022a0,0x0000066f,0x0000066a,0x00c89800,0x01976400,0x00779242,0x00000003,0x0000000c,0x0000000d
14,P,4004,4004,51,14,7560,1000,1,,0x90003300,36,51,0x00000ee2,0x00000477,0x00001dc4,0x0000066f,0x0000066a,0x016aa800,0x02beb800,0x008ae802,0x00000003,0x0000000c,0x0000000e
15,P,3972,3972,51,15,8100,1000,2,,0x90003300,36,51,0x00000c51,0x000003b1,0x000018a2,0x0000066f,0x0000066a,0x00f77000,0x00d40400,0x0079d3c2,0x00000003,0x0000000c,0x0000000f
16,P,4062,4062,51,16,8640,1000,3,,0x90003300,36,51,0x000009a8,0x000002e5,0x00001350,0x0000066f,0x0000066a,0x014ba000,0x03a1a800,0x008977c2,0x00000003,0x0000000c,0x00000010
17,P,3981,3981,51,17,9180,1000,4,,0x90003300,36,51,0x000006cb,0x00000209,0x00000d96,0x0000066f,0x0000066a,0x00fe1800,0x01b6dc00,0x007a51c2,0x00000003,0x0000000c,0x00000011
18,P,4002,4002,51,18,9720,1000,5,,0x90003300,36,51,0x000003db,0x00000128,0x000007b6,0x0000066f,0x0000066a,0x01922800,0x020c4000,0x008cecc2,0x00000003,0x0000000c,0x00000012
19,P,4007,4007,51,19,10260,1000,6,,0x90003300,36,51,0x000000bf,0x00000039,0x0000017e,0x0000066f,0x0000066a,0x00f90000,0x01677800,0x007b9942,0x00000003,0x0000000c,0x00000013
20,P,4010,4010,51,20,10800,1000,7,,0x90003300,36,51,0x00000006,0x00000001,0x0000000c,0x0000066f,0x0000066a,0x01979800,0x020d3000,0x008f3982,0x00000003,0x0000000c,0x00000014
21,P,3996,3996,51,21,11340,1000,1,,0x90003300,36,51,0x00000006,0x00000001,0x0000000c,0x0000066f,0x0000066a,0x011fe000,0x00db2000,0x007cee02,0x00000003,0x0000000c,0x00000015
22,P,3988,3988,51,22,11880,1000,2,,0x90003300,36,51,0x00000007,0x00000002,0x0000000e,0x0000066f,0x0000066a,0x019a2800,0x01b70800,0x008d1bc2,0x00000003,0x0000000c,0x00000016
23,P,3935,3935,51,23,12420,1000,3,,0x90003300,36,51,0x00000007,0x00000002,0x0000000e,0x0000066f,0x0000066a,0x00ed9000,0x00f6a000,0x007bbf82,0x00000003,0x0000000c,0x00000017
24,P,3923,3923,51,24,12960,1000,4,,0x90003300,36,51,0x00000007,0x00000002,0x0000000e,0x0000066f,0x0000066a,0x016e1000,0x027a5400,0x008d0342,0x00000003,0x0000000c,0x00000018
25,P,3960,3960,51,25,13500,1000,5,,0x90003300,36,51,0x00000007,0x00000002,0x0000000e,0x0000066f,0x0000066a,0x0106f000,0x00bef400,0x007d5d82,0x00000003,0x0000000c,0x00000019
26,P,4028,4028,51,26,14040,1000,6,,0x90003300,36,51,0x00000008,0x00000002,0x00000010,0x0000066f,0x0000066a,0x01e20800,0x0103a400,0x008bfc42,0x00000003,0x0000000c,0x0000001a
27,P,4010,4010,51,27,14580,1000,7,,0x90003300,36,51,0x00000008,0x00000002,0x00000010,0x0000066f,0x0000066a,0x00f5b800,0x0108e400,0x007da882,0x00000003,0x0000000c,0x0000001b
28,P,3998,3998,51,28,15120,1000,1,,0x90003300,36,51,0x00000008,0x00000002,0x00000010,0x0000066f,0x0000066a,0x01aaa000,0x01c2a400,0x008a9b42,0x00000003,0x0000000c,0x0000001c
29,P,3963,3963,51,29,15660,1000,2,,0x90003300,36,51,0x00000008,0x00000002,0x00000010,0x0000066f,0x0000066a,0x00eda800,0x01768800,0x007d2bc2,0x00000003,0x0000000c,0x0000001d
30,I,21964,21923,37,28,16200,1000,3,,0x90002500,36,37,0x000249f0,0x000249f0,0x000249f0,0x0000014f,0x00000662,0x01e43000,0x01ac4800,0x0052cdc2,0x00000003,0x0000000c,0x00000000
31,P,6496,6496,40,27,16740,1000,4,,0x90002800,36,40,0x00000008,0x00000002,0x00000010,0x0000014f,0x0000066a,0x01719000,0x03202c00,0x008a3d82,0x00000003,0x0000000c,0x00000001
32,P,5397,5397,42,26,17280,1000,5,,0x90002a00,36,42,0x00000009,0x00000002,0x00000012,0x0000014f,0x0000066a,0x0658a800,0x02ef1800,0x006952c2,0x00000003,0x0000000c,0x00000002
33,P,4953,4953,44,25,17820,1000,6,,0x90002c00,36,44,0x00000009,0x00000002,0x00000012,0x0000014f,0x0000066a,0x01259000,0x04265000,0x0066ff82,0x00000003,0x0000000c,0x00000003
34,P,4879,4879,46,24,18360,1000,7,,0x90002e00,36,46,0x00000009,0x00000002,0x00000012,0x0000014f,0x0000066a,0x02f40800,0x03069400,0x006a6fc2,0x00000003,0x0000000c,0x00000004
35,P,4862,4862,46,23,18900,1000,1,,0x90002e00,36,46,0x0000000a,0x00000003,0x00000014,0x0000014f,0x0000066a,0x01608000,0x03d29000,0x0068ad82,0x00000003,0x0000000c,0x00000005
36,P,4913,4913,46,22,19440,1000,2,,0x90002e00,36,46,0x0000000a,0x00000003,0x00000014,0x0000014f,0x0000066a,0x02ced800,0x02710400,0x0069d382,0x00000003,0x0000000c,0x00000006
37,P,4797,4797,46,21,19980,1000,3,,0x90002e00,36,46,0x0000000b,0x00000003,0x00000016,0x0000014f,0x0000066a,0x00b92800,0x0279e400,0x0069b582,0x00000003,0x0000000c,0x00000007
38,P,4926,4926,46,20,20520,1000,4,,0x90002e00,36,46,0x0000000b,0x00000003,0x00000016,0x0000014f,0x0000066a,0x01da4800,0x03bc9400,0x006a1e02,0x00000003,0x0000000c,0x00000008
39,P,4867,4867,46,19,21060,1000,5,,0x90002e00,36,46,0x0000000c,0x00000003,0x00000018,0x0000014f,0x0000066a,0x015a3000,0x0445b400,0x006a8442,0x00000003,0x0000000c,0x00000009
