frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
54,P,160,156,46,4,220,2000,6,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00021b02,0x00200003,0x0000000c,0x00000018
55,P,138,134,46,3,224,2000,7,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00022582,0x00200003,0x0000000c,0x00000019
56,P,103,99,46,2,228,2000,1,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x000221c2,0x00200003,0x0000000c,0x0000001a
57,P,149,145,46,1,232,2000,2,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00022402,0x00200003,0x0000000c,0x0000001b
58,P,147,143,46,0,236,2000,3,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00022302,0x00200003,0x0000000c,0x0000001c
59,P,135,131,46,1,240,2000,4,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00022482,0x00200003,0x0000000c,0x0000001d
60,I,22233,22137,36,2,244,2000,5,,0x90002400,36,36,0x00000000,0x00000000,0x00000000,0x0000014f,0x00000662,0x04862000,0x00001000,0x0004a842,0x0020000b,0x0000000c,0x00000000
61,P,994,990,37,3,248,2000,6,,0x90002500,36,37,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x00022082,0x00200003,0x0000000c,0x00000001
62,P,505,501,39,4,252,2000,7,,0x90002700,36,39,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00560000,0x000b0400,0x0001e7c2,0x00200003,0x0000000c,0x00000002
63,P,261,257,41,5,256,2000,1,,0x90002900,36,41,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x0047a000,0x00052400,0x0001d302,0x00200003,0x0000000c,0x00000003
64,P,234,230,42,6,260,2000,2,,0x90002a00,36,42,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00441000,0x00047800,0x0001d7c2,0x00200003,0x0000000c,0x00000004
65,P,150,146,43,7,264,2000,3,,0x90002b00,36,43,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00441000,0x000bfc00,0x0001d242,0x00200003,0x0000000c,0x00000005
66,P,141,137,44,8,268,2000,4,,0x90002c00,36,44,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001d042,0x00200003,0x0000000c,0x00000006
67,P,127,123,45,9,272,2000,5,,0x90002d00,36,45,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001d182,0x00200003,0x0000000c,0x00000007
68,P,106,102,46,10,276,2000,6,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001d2c2,0x00200003,0x0000000c,0x00000008
69,P,97,93,46,11,280,2000,7,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001d2c2,0x00200003,0x0000000c,0x00000009
70,P,109,105,46,12,284,2000,1,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001d382,0x00200003,0x0000000c,0x0000000a
71,P,141,137,46,13,288,2000,2,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001d842,0x00200003,0x0000000c,0x0000000b
72,P,149,145,46,14,292,2000,3,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001e102,0x00200003,0x0000000c,0x0000000c
73,P,121,117,46,15,296,2000,4,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001e482,0x00200003,0x0000000c,0x0000000d
74,P,153,149,46,16,300,2000,5,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001e782,0x00200003,0x0000000c,0x0000000e
75,P,115,111,46,17,304,2000,6,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00500800,0x004b2c00,0x0001f702,0x00200003,0x0000000c,0x0000000f
76,P,136,132,46,18,308,2000,7,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001e7c2,0x00200003,0x0000000c,0x00000010
77,P,129,125,46,19,312,2000,1,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001ebc2,0x00200003,0x0000000c,0x00000011
78,P,142,138,46,20,316,2000,2,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001ec42,0x00200003,0x0000000c,0x00000012
79,P,118,114,46,21,320,2000,3,,0x90002e00,36,46,0x00000000,0x00000000,0x00000000,0x0000014f,0x0000066a,0x00400800,0x00000400,0x0001eb02,0x00200003,0x0000000c,0x00000013
