frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,30680,30640,32,0,4,16000,1,,0x68002000,26,32,0x0035b600,0x0035b600,0x0035b600,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x00000003,0x0000000c,0x00000000
1,P,8617,8617,35,1,8,16000,2,,0x68002300,26,35,0x00041607,0x000139ce,0x00082c0e,0x0000014f,0x0000066a,0x04e8f000,0x00004400,0x0037d682,0x00000003,0x0000000c,0x00000001
2,P,11375,11375,33,2,12,16000,3,,0x68002100,26,33,0x000423e6,0x0003eee7,0x000458e4,0x0000014f,0x0000066a,0x03233800,0x0150d400,0x00111782,0x00000003,0x0000000c,0x00000002
3,P,8335,8335,32,3,16,16000,4,,0x68002000,26,32,0x000430b5,0x0003fb12,0x00046657,0x0000014f,0x0000066a,0x0130c000,0x010c5c00,0x000e0142,0x00000003,0x0000000c,0x00000003
4,P,8412,8412,31,4,20,16000,5,,0x68001f00,26,31,0x00043fc0,0x0004095c,0x00047623,0x0000014f,0x0000066a,0x00dd4000,0x00717800,0x000cfd82,0x00000003,0x0000000c,0x00000004
5,P,6817,6817,30,5,24,16000,6,,0x68001e00,26,30,0x00044f50,0x00014afe,0x00089ea0,0x0000014f,0x0000066a,0x01a94800,0x00a48000,0x000b5082,0x00000003,0x0000000c,0x00000005
6,P,6922,6922,29,6,28,16000,7,,0x68001d00,26,29,0x0004606f,0x00042869,0x00049874,0x0000014f,0x0000066a,0x00c11800,0x00cd2c00,0x0008b002,0x00000003,0x0000000c,0x00000006
7,P,6893,6893,28,7,32,16000,1,,0x68001c00,26,28,0x00047229,0x00043940,0x0004ab11,0x0000014f,0x0000066a,0x0063a000,0x006b0c00,0x000777c2,0x00000003,0x0000000c,0x00000007
8,P,6982,6982,27,8,36,16000,2,,0x68001b00,26,27,0x0004849e,0x00044ac9,0x0004be72,0x0000014f,0x0000066a,0x00adb000,0x0073f800,0x0006c542,0x00000003,0x0000000c,0x00000008
9,P,7586,7586,26,9,40,16000,3,,0x68001a00,26,26,0x000497c5,0x00045cfb,0x0004d28e,0x0000014f,0x0000066a,0x00dc5800,0x00946c00,0x00062802,0x00000003,0x0000000c,0x00000009
10,P,7476,7476,25,10,44,16000,4,,0x68001900,26,25,0x0004ab53,0x00046f8e,0x0004e717,0x0000014f,0x0000066a,0x00780800,0x00a49c00,0x0005ab42,0x00000003,0x0000000c,0x0000000a
11,P,7733,7733,24,11,48,16000,5,,0x68001800,26,24,0x0004bfc9,0x000482fe,0x0004fc93,0x0000014f,0x0000066a,0x0052a800,0x003ec800,0x00051082,0x00000003,0x0000000c,0x0000000b
12,P,9235,9235,23,12,52,16000,6,,0x68001700,26,23,0x0004d4f6,0x0004971c,0x000512cf,0x0000014f,0x0000066a,0x004d4000,0x0040d000,0x0004df82,0x00000003,0x0000000c,0x0000000c
13,P,9499,9499,22,13,56,16000,7,,0x68001600,26,22,0x0004ea0a,0x0004ab23,0x000528f0,0x0000014f,0x0000066a,0x005b0800,0x004d0c00,0x00054202,0x00000003,0x0000000c,0x0000000d
14,P,10186,10186,21,14,60,16000,1,,0x68001500,26,21,0x0004ffe2,0x0004bfe3,0x00053fe0,0x0000014f,0x0000066a,0x00771000,0x00711400,0x0004c702,0x00000003,0x0000000c,0x0000000e
15,P,5795,5795,21,15,64,16000,2,,0x68001500,26,21,0x0005163f,0x000186ac,0x000a2c7e,0x0000014f,0x0000066a,0x00898800,0x005f8c00,0x00044202,0x00000003,0x0000000c,0x0000000f
16,P,4553,4553,21,16,68,16000,3,,0x68001500,26,21,0x000530f0,0x0004ee7d,0x00057362,0x0000014f,0x0000066a,0x0086a000,0x0025d800,0x000340c2,0x00000003,0x0000000c,0x00000010
17,P,3917,3917,21,17,72,16000,4,,0x68001500,26,21,0x00054de2,0x000509fd,0x000591c6,0x0000014f,0x0000066a,0x00496800,0x00286400,0x0002f982,0x00000003,0x0000000c,0x00000011
18,P,2577,2577,21,18,76,16000,5,,0x68001500,26,21,0x00056cc5,0x0001a0a1,0x000ad98a,0x0000014f,0x0000066a,0x004fa000,0x0029d400,0x0002eb02,0x00000003,0x0000000c,0x00000012
19,P,2542,2542,21,19,80,16000,6,,0x68001500,26,21,0x00058e50,0x00054732,0x0005d56d,0x0000014f,0x0000066a,0x00567800,0x0020f400,0x0002c782,0x00000003,0x0000000c,0x00000013
20,P,2305,2305,21,20,84,16000,7,,0x68001500,26,21,0x0005b1a7,0x000568c5,0x0005fa88,0x0000014f,0x0000066a,0x0053f000,0x001c7800,0x0002d1c2,0x00000003,0x0000000c,0x00000014
21,P,2566,2566,21,21,88,16000,1,,0x68001500,26,21,0x0005d71a,0x00058c58,0x000621db,0x0000014f,0x0000066a,0x0074b800,0x0007ec00,0x0002cf42,0x00000003,0x0000000c,0x00000015
22,P,4008,4008,21,22,92,16000,2,,0x68001500,26,21,0x0005fe68,0x0005b1af,0x00064b20,0x0000014f,0x0000066a,0x00401800,0x000cd400,0x0002dc42,0x00000003,0x0000000c,0x00000016
23,P,5645,5645,21,23,96,16000,3,,0x68001500,26,21,0x000626ab,0x0005d7ef,0x00067566,0x0000014f,0x0000066a,0x004bf000,0x000ee400,0x000329c2,0x00000003,0x0000000c,0x00000017
24,P,6626,6626,21,24,100,16000,4,,0x68001500,26,21,0x00064fcb,0x0005ff00,0x0006a095,0x0000014f,0x0000066a,0x00605800,0x00182c00,0x000495c2,0x00000003,0x0000000c,0x00000018
25,P,3008,3008,21,25,104,16000,5,,0x68001500,26,21,0x00067a7b,0x0006278e,0x0006cd67,0x0000014f,0x0000066a,0x006bb800,0x00b2fc00,0x00055902,0x00000003,0x0000000c,0x00000019
26,P,2194,2194,21,26,108,16000,6,,0x68001500,26,21,0x0006ab5f,0x00065600,0x000700bd,0x0000014f,0x0000066a,0x00601000,0x0014cc00,0x00033042,0x00000003,0x0000000c,0x0000001a
27,P,1901,1901,21,27,112,16000,7,,0x68001500,26,21,0x0006e03c,0x00021012,0x000dc078,0x0000014f,0x0000066a,0x00461000,0x00075800,0x0002b242,0x00000003,0x0000000c,0x0000001b
28,P,1598,1598,21,28,116,16000,1,,0x68001500,26,21,0x000718ee,0x00022114,0x000e31dc,0x0000014f,0x0000066a,0x00437000,0x00091800,0x0002ae82,0x00000003,0x0000000c,0x0000001c
29,P,1546,1546,21,29,120,16000,2,,0x68001500,26,21,0x000755dc,0x0006f7f7,0x0007b3c0,0x0000014f,0x0000066a,0x0055d800,0x00125000,0x0002aac2,0x00000003,0x0000000c,0x0000001d
30,I,34192,34152,30,28,124,16000,3,,0x68001e00,26,30,0x0035b600,0x0035b600,0x0035b600,0x0000014f,0x00000662,0x04e8f000,0x00004400,0x0037d682,0x00000003,0x0000000c,0x00000000
31,P,9487,9487,33,27,128,16000,4,,0x68002100,26,33,0x00077179,0x00071232,0x0007d0bf,0x0000014f,0x0000066a,0x00601000,0x00135400,0x0002a342,0x00000003,0x0000000c,0x00000001
32,P,7514,7514,32,26,132,16000,5,,0x68002000,26,32,0x0007aaf0,0x000748ca,0x00080d15,0x0000014f,0x0000066a,0x01a95000,0x0063b800,0x000d1e02,0x00000003,0x0000000c,0x00000002
33,P,8281,8281,31,25,136,16000,6,,0x68001f00,26,31,0x0007eaf1,0x00078598,0x00085049,0x0000014f,0x0000066a,0x01477000,0x00bccc00,0x000bb082,0x00000003,0x0000000c,0x00000003
34,P,7551,7551,30,24,140,16000,7,,0x68001e00,26,30,0x00082ef2,0x0007c632,0x000897b1,0x0000014f,0x0000066a,0x0171d000,0x00abb400,0x000aa5c2,0x00000003,0x0000000c,0x00000004
35,P,7486,7486,29,23,144,16000,1,,0x68001d00,26,29,0x0008794e,0x00080cd6,0x0008e5c5,0x0000014f,0x0000066a,0x0202d800,0x00862000,0x00095b82,0x00000003,0x0000000c,0x00000005
36,P,6584,6584,28,22,148,16000,2,,0x68001c00,26,28,0x0008c9f2,0x00085972,0x00093a71,0x0000014f,0x0000066a,0x00c0c800,0x00a0e400,0x000807c2,0x00000003,0x0000000c,0x00000006
37,P,7486,7486,27,21,152,16000,3,,0x68001b00,26,27,0x000922d3,0x0008ade2,0x000997c3,0x0000014f,0x0000066a,0x008ff800,0x0076bc00,0x0006c502,0x00000003,0x0000000c,0x00000007
38,P,7370,7370,26,20,156,16000,4,,0x68001a00,26,26,0x00098280,0x000908c6,0x0009fc39,0x0000014f,0x0000066a,0x00daf800,0x0081d000,0x00063082,0x00000003,0x0000000c,0x00000008
39,P,7625,7625,25,19,160,16000,5,,0x68001900,26,25,0x0009eb76,0x00096c7c,0x000a6a6f,0x0000014f,0x0000066a,0x014b7000,0x00bebc00,0x00059342,0x00000003,0x0000000c,0x00000009
40,P,7791,7791,24,18,164,16000,6,,0x68001800,26,24,0x000a5e86,0x0009d9cc,0x000ae33f,0x0000014f,0x0000066a,0x009cc000,0x00c5c800,0x000517c2,0x00000003,0x0000000c,0x0000000a
41,P,9456,9456,23,17,168,16000,7,,0x68001700,26,23,0x000add6b,0x000a5258,0x000b687d,0x0000014f,0x0000066a,0x00c6c800,0x009b3000,0x0004bc02,0x00000003,0x0000000c,0x0000000b
