frame,type,bytes,slice_bytes,slice_qp,srcf,off,br_kbps,slot,flag,sw7,sw7_initqp,sw7_frameqp,sw105,sw106,sw107,sw172,sw173,sw243,sw244,sw247,sw6,sw22,sw11
0,I,29084,28989,32,0,4,16000,1,,0x68002000,26,32,0x0035b600,0x0035b600,0x0035b600,0x0000014f,0x00000662,0x00000000,0x00000000,0x00000000,0x0020000b,0x0000000c,0x00000000
1,P,4821,4817,35,1,8,16000,2,,0x68002300,26,35,0x000418a7,0x00013a98,0x0008314e,0x0000014f,0x0000066a,0x048bf000,0x00000800,0x00034802,0x00200003,0x0000000c,0x00000001
2,P,5830,5826,33,2,12,16000,3,,0x68002100,26,33,0x000428b1,0x0003f374,0x00045ded,0x0000014f,0x0000066a,0x01363800,0x00149400,0x00010202,0x00200003,0x0000000c,0x00000002
3,P,3677,3673,32,3,16,16000,4,,0x68002000,26,32,0x000438bc,0x000402b2,0x00046ec5,0x0000014f,0x0000066a,0x007ca000,0x008bdc00,0x0000d342,0x00200003,0x0000000c,0x00000003
4,P,4074,4070,31,4,20,16000,5,,0x68001f00,26,31,0x00044a9f,0x000413b0,0x0004818d,0x0000014f,0x0000066a,0x00487000,0x002b9800,0x0000ba42,0x00200003,0x0000000c,0x00000004
5,P,3989,3985,30,5,24,16000,6,,0x68001e00,26,30,0x00045cf3,0x00014f15,0x0008b9e6,0x0000014f,0x0000066a,0x005a7800,0x00558000,0x0000a042,0x00200003,0x0000000c,0x00000005
6,P,4211,4207,29,6,28,16000,7,,0x68001d00,26,29,0x00047008,0x0004373a,0x0004a8d5,0x0000014f,0x0000066a,0x00901800,0x00418800,0x00008ac2,0x00200003,0x0000000c,0x00000006
7,P,3924,3920,28,7,32,16000,1,,0x68001c00,26,28,0x000483ba,0x000449f0,0x0004bd83,0x0000014f,0x0000066a,0x0106b000,0x004a2800,0x00007f82,0x00200003,0x0000000c,0x00000007
8,P,4067,4063,27,8,36,16000,2,,0x68001b00,26,27,0x00049863,0x00045d91,0x0004d334,0x0000014f,0x0000066a,0x00d7b800,0x004f5000,0x00007102,0x00200003,0x0000000c,0x00000008
9,P,3822,3818,26,9,40,16000,3,,0x68001a00,26,26,0x0004adcd,0x000471e9,0x0004e9b0,0x0000014f,0x0000066a,0x0077a000,0x004eb800,0x00006802,0x00200003,0x0000000c,0x00000009
10,P,4014,4010,25,10,44,16000,4,,0x68001900,26,25,0x0004c444,0x00048740,0x00050147,0x0000014f,0x0000066a,0x004fd000,0x0034ec00,0x00005e02,0x00200003,0x0000000c,0x0000000a
11,P,4945,4941,24,11,48,16000,5,,0x68001800,26,24,0x0004db90,0x00049d62,0x000519bd,0x0000014f,0x0000066a,0x00739800,0x003d5400,0x00005682,0x00200003,0x0000000c,0x0000000b
12,P,5441,5437,23,12,52,16000,6,,0x68001700,26,23,0x0004f33c,0x0004b3df,0x00053298,0x0000014f,0x0000066a,0x006e1000,0x0039a800,0x00005302,0x00200003,0x0000000c,0x0000000c
13,P,5568,5564,22,13,56,16000,7,,0x68001600,26,22,0x00050b9e,0x0004cb09,0x00054c32,0x0000014f,0x0000066a,0x0077d800,0x0037dc00,0x000055c2,0x00200003,0x0000000c,0x0000000d
14,P,6862,6858,21,14,60,16000,1,,0x68001500,26,21,0x00052505,0x0004e32b,0x000566de,0x0000014f,0x0000066a,0x0086f800,0x0031fc00,0x00004882,0x00200003,0x0000000c,0x0000000e
15,P,2702,2698,21,15,64,16000,2,,0x68001500,26,21,0x00053ea9,0x000192cc,0x000a7d52,0x0000014f,0x0000066a,0x00d3b000,0x00367400,0x00004bc2,0x00200003,0x0000000c,0x0000000f
16,P,2077,2073,21,16,68,16000,3,,0x68001500,26,21,0x00055c9e,0x000517fc,0x0005a13f,0x0000014f,0x0000066a,0x007aa000,0x002a3400,0x00003502,0x00200003,0x0000000c,0x00000010
17,P,1693,1689,21,17,72,16000,4,,0x68001500,26,21,0x00057c83,0x00053649,0x0005c2bc,0x0000014f,0x0000066a,0x004ea800,0x0026b000,0x00003342,0x00200003,0x0000000c,0x00000011
18,P,1730,1726,21,18,76,16000,5,,0x68001500,26,21,0x00059e4e,0x0001af7d,0x000b3c9c,0x0000014f,0x0000066a,0x0043b000,0x00228000,0x00003282,0x00200003,0x0000000c,0x00000012
19,P,1493,1489,21,19,80,16000,6,,0x68001500,26,21,0x0005c1cc,0x0005781b,0x00060b7c,0x0000014f,0x0000066a,0x0043d000,0x00158000,0x00003102,0x00200003,0x0000000c,0x00000013
20,P,1289,1285,21,20,84,16000,7,,0x68001500,26,21,0x0005e75a,0x00059bc8,0x000632eb,0x0000014f,0x0000066a,0x0040f800,0x00202800,0x00003002,0x00200003,0x0000000c,0x00000014
21,P,1330,1326,21,21,88,16000,1,,0x68001500,26,21,0x00060f1d,0x0005c18e,0x00065cab,0x0000014f,0x0000066a,0x00404000,0x00190c00,0x00002e02,0x00200003,0x0000000c,0x00000015
22,P,2699,2695,21,22,92,16000,2,,0x68001500,26,21,0x0006390b,0x0005e964,0x000688b1,0x0000014f,0x0000066a,0x00401000,0x0019e000,0x00002f42,0x00200003,0x0000000c,0x00000016
23,P,3759,3755,21,23,96,16000,3,,0x68001500,26,21,0x00066426,0x00061257,0x0006b5f4,0x0000014f,0x0000066a,0x00434800,0x00078000,0x00003542,0x00200003,0x0000000c,0x00000017
24,P,3736,3732,21,24,100,16000,4,,0x68001500,26,21,0x000690d1,0x00063cc6,0x0006e4db,0x0000014f,0x0000066a,0x005eb800,0x00093000,0x00004702,0x00200003,0x0000000c,0x00000018
25,P,2032,2028,21,25,104,16000,5,,0x68001500,26,21,0x0006c037,0x000669cd,0x000716a0,0x0000014f,0x0000066a,0x0053c000,0x00091c00,0x00004342,0x00200003,0x0000000c,0x00000019
26,P,1390,1386,21,26,108,16000,6,,0x68001500,26,21,0x0006f43c,0x00069b39,0x00074d3f,0x0000014f,0x0000066a,0x0064e800,0x00074800,0x00002fc2,0x00200003,0x0000000c,0x0000001a
27,P,1318,1314,21,27,112,16000,7,,0x68001500,26,21,0x00072c43,0x000226e0,0x000e5886,0x0000014f,0x0000066a,0x00694800,0x00073400,0x00002ac2,0x00200003,0x0000000c,0x0000001b
28,P,1137,1133,21,28,116,16000,1,,0x68001500,26,21,0x00076819,0x000238d4,0x000ed032,0x0000014f,0x0000066a,0x006a7000,0x00072400,0x00002a82,0x00200003,0x0000000c,0x0000001c
29,P,1689,1685,21,29,120,16000,2,,0x68001500,26,21,0x0007a841,0x0007463d,0x00080a44,0x0000014f,0x0000066a,0x00631800,0x00072400,0x00002a42,0x00200003,0x0000000c,0x0000001d
30,I,32530,32435,30,28,124,16000,3,,0x68001e00,26,30,0x0035b600,0x0035b600,0x0035b600,0x0000014f,0x00000662,0x048bf000,0x00000800,0x00034802,0x0020000b,0x0000000c,0x00000000
31,P,5926,5922,33,27,128,16000,4,,0x68002100,26,33,0x0007c210,0x00075ec2,0x0008255d,0x0000014f,0x0000066a,0x005aa800,0x00072400,0x000028c2,0x00200003,0x0000000c,0x00000001
32,P,3552,3548,32,26,132,16000,5,,0x68002000,26,32,0x00080261,0x00079bdc,0x000868e5,0x0000014f,0x0000066a,0x013af000,0x0060ac00,0x0000c3c2,0x00200003,0x0000000c,0x00000002
33,P,3375,3371,31,25,136,16000,6,,0x68001f00,26,31,0x00084a35,0x0007e018,0x0008b451,0x0000014f,0x0000066a,0x00bb4800,0x004f9c00,0x0000a082,0x00200003,0x0000000c,0x00000003
34,P,4077,4073,30,24,140,16000,7,,0x68001e00,26,30,0x000897c6,0x000829c8,0x000905c3,0x0000014f,0x0000066a,0x00af1800,0x002c9400,0x00009382,0x00200003,0x0000000c,0x00000004
35,P,4193,4189,29,23,144,16000,1,,0x68001d00,26,29,0x0008eaab,0x00087888,0x00095ccd,0x0000014f,0x0000066a,0x00bda000,0x00429800,0x000089c2,0x00200003,0x0000000c,0x00000005
36,P,3725,3721,28,22,148,16000,2,,0x68001c00,26,28,0x00094452,0x0008cdb4,0x0009baef,0x0000014f,0x0000066a,0x00eb8000,0x00292400,0x000078c2,0x00200003,0x0000000c,0x00000006
37,P,3945,3941,27,21,152,16000,3,,0x68001b00,26,27,0x0009a668,0x00092ae2,0x000a21ed,0x0000014f,0x0000066a,0x00d51000,0x002d0400,0x00006802,0x00200003,0x0000000c,0x00000007
38,P,4462,4458,26,20,156,16000,4,,0x68001a00,26,26,0x000a1118,0x0009903d,0x000a91f2,0x0000014f,0x0000066a,0x00a3c800,0x002c3800,0x00005d42,0x00200003,0x0000000c,0x00000008
39,P,4473,4469,25,19,160,16000,5,,0x68001900,26,25,0x000a852c,0x0009fe83,0x000b0bd4,0x0000014f,0x0000066a,0x00da0800,0x002ea000,0x00005342,0x00200003,0x0000000c,0x00000009
40,P,4817,4813,24,18,164,16000,6,,0x68001800,26,24,0x000b04d7,0x000a77cc,0x000b91e1,0x0000014f,0x0000066a,0x00c99800,0x0039f800,0x00004e82,0x00200003,0x0000000c,0x0000000a
41,P,5243,5239,23,17,168,16000,7,,0x68001700,26,23,0x000b9162,0x000afd50,0x000c2573,0x0000014f,0x0000066a,0x00b66800,0x0037bc00,0x000047c2,0x00200003,0x0000000c,0x0000000b
42,P,6417,6413,22,16,172,16000,1,,0x68001600,26,22,0x000c2ccd,0x000b90f5,0x000cc8a4,0x0000014f,0x0000066a,0x009d8000,0x00341c00,0x00004642,0x00200003,0x0000000c,0x0000000c
43,P,7324,7320,21,15,176,16000,2,,0x68001500,26,21,0x000cd859,0x000c33ee,0x000d7cc3,0x0000014f,0x0000066a,0x010d4000,0x004a2800,0x00004942,0x00200003,0x0000000c,0x0000000d
44,P,7165,7161,20,14,180,16000,3,,0x68001400,26,20,0x000d9791,0x000ce996,0x000e458b,0x0000014f,0x0000066a,0x00db1000,0x006fdc00,0x00004242,0x00200003,0x0000000c,0x0000000e
45,P,3451,3447,19,13,184,16000,4,,0x68001300,26,19,0x000e709c,0x000db7c7,0x000f2970,0x0000014f,0x0000066a,0x00d2a800,0x0062f400,0x00003542,0x00200003,0x0000000c,0x0000000f
46,P,2258,2254,19,12,188,16000,5,,0x68001300,26,19,0x000f70f3,0x000eab4d,0x00103698,0x0000014f,0x0000066a,0x00d75000,0x00100800,0x00002ac2,0x00200003,0x0000000c,0x00000010
47,P,2042,2038,19,11,192,16000,6,,0x68001300,26,19,0x00109b98,0x000fc703,0x0011702c,0x0000014f,0x0000066a,0x009e3800,0x000f3400,0x000026c2,0x00200003,0x0000000c,0x00000011
48,P,2277,2273,19,10,196,16000,7,,0x68001300,26,19,0x0011f894,0x0011128c,0x0012de9b,0x0000014f,0x0000066a,0x006ac800,0x001bcc00,0x00002602,0x00200003,0x0000000c,0x00000012
